experiment_id,status,error,lambda_cc,mu,theta,edge_threshold,cooccurrence_scope,input_weight_threshold,output_weight_threshold,min_input_aq,min_output_aq,top_k_input_per_form,top_k_output_per_form,kappa,eta,max_filters,max_outputs,relationship_top_k,schema_nodes,schema_edges,weighted_nodes,weighted_edges,reduced_nodes,reduced_edges,containment_edges,cooccurrence_edges,graph_density,canonical_forms,operator_aware_forms,aqf_forms,avg_form_complexity,avg_form_utility,avg_filter_count,avg_output_count,workload_queries,query_support_rate,avg_field_recall,avg_operator_support,avg_context_support,category_support_json,combined_score,runtime_seconds
exp_00001,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,8,6,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.9761097431182861
exp_00002,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,8,6,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.9758305549621582
exp_00003,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,8,8,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.950143575668335
exp_00004,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,8,8,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.9523224830627441
exp_00005,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,12,6,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.9512298107147217
exp_00006,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,12,6,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.9575023651123047
exp_00007,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,12,8,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.9927680492401123
exp_00008,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,0.5,12,8,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,10.5,3.8000873009002767,4.5,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.17825279186275408,0.9734289646148682
exp_00009,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,8,6,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,0.9631984233856201
exp_00010,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,8,6,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,0.9773600101470947
exp_00011,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,8,8,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,1.0163123607635498
exp_00012,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,8,8,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,0.9889011383056641
exp_00013,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,12,6,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,1.106537103652954
exp_00014,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,12,6,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,1.127472162246704
exp_00015,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,12,8,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,1.0457518100738525
exp_00016,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.0,12,8,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.5,3.37370947310711,4.0,3.5,20,0.2,0.2833333333333333,0.2833333333333333,0.5,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.10489032504604123,0.9803981781005859
exp_00017,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,8,6,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,0.9548332691192627
exp_00018,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,8,6,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,1.0547149181365967
exp_00019,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,8,8,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,1.0637457370758057
exp_00020,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,8,8,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,2.172379493713379
exp_00021,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,12,6,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,0.9565715789794922
exp_00022,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,12,6,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,0.9874124526977539
exp_00023,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,12,8,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,1.000084400177002
exp_00024,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,16,1.5,12,8,40,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,12.0,2.6923681469298244,3.0,3.0,20,0.15,0.19166666666666668,0.19166666666666668,0.29166666666666663,"{""demographic"": 0.5, ""diagnosis"": 0.0, ""treatment_procedure"": 0.0, ""temporal"": 0.25, ""cross_context"": 0.0}",0.05076296773417607,0.9670794010162354
exp_00025,success,,0.5,0.25,0.1,0.2,leaf,0.0,0.0,0.0,0.0,10,8,20,0.5,8,6,20,59,751,59,751,55,423,53,370,0.14242424242424243,2,2,2,11.0,4.010974304593721,5.0,4.0,20,0.3,0.375,0.375,0.5916666666666667,"{""demographic"": 0.5, ""diagnosis"": 0.25, ""treatment_procedure"": 0.25, ""temporal"": 0.25, ""cross_context"": 0.25}",0.1873854528738344,0.9813816547393799
