source,target,edge_type,source_schema_edge_type,weight,structural_connectivity,containment_connectivity,cooccurrence_connectivity
form_group_outpatient_high_complexity_procedures_71797944,form_subgroup_hcpa_19013159,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_hcpa_19013159,form_subgroup_components_61999365,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_61999365,form_subgroup_general_data_73607824,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_73607824,form_element_issue_date_41641607,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_73607824,form_element_reason_for_encounter_27478857,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_73607824,form_element_healthcare_unit_61827302,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_73607824,form_element_state_18357254,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_73607824,form_element_patient_age_86349246,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_61999365,form_subgroup_radiotherapy_76687677,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_radiotherapy_76687677,form_element_date_of_beginning_of_radiotherapy_33368558,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_71797944,form_subgroup_patient_discharge_3369957,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_patient_discharge_3369957,form_subgroup_components_63377843,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_63377843,form_element_date_of_discharge_55971852,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_63377843,form_element_reason_for_discharge_247171,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_71797944,form_subgroup_problem_diagnosis_10005921,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_problem_diagnosis_10005921,form_subgroup_structure_39325525,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_39325525,form_element_problem_82711587,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_39325525,form_element_secondary_diagnosis_76059636,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_39325525,form_element_associated_causes_64128576,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_39325525,form_subgroup_tumour_tnm_cancer_staging_89640507,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_89640507,form_subgroup_clinical_ctnm_95527532,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_clinical_ctnm_95527532,form_element_clinical_staging_88083299,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_89640507,form_subgroup_pathological_ptnm_98004046,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_pathological_ptnm_98004046,form_element_date_of_pathological_identification_38577958,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_89640507,form_element_topography_31467816,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_71797944,form_subgroup_procedure_undertaken_87417984,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_undertaken_87417984,form_subgroup_procedure_list_80625684,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_80625684,form_element_procedure_9751471,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_80625684,form_element_irradiated_area_1_64339815,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_80625684,form_element_fields_insertions_1_17939053,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_71797944,form_subgroup_bariatric_surgery_evaluation_82676194,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_bariatric_surgery_evaluation_82676194,form_subgroup_components_92973977,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_92973977,form_element_duration_of_follow_up_months_72675067,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_71797944,form_subgroup_body_mass_index_21356111,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_body_mass_index_21356111,form_subgroup_history_84257398,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_history_84257398,form_subgroup_any_event_21911099,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_any_event_21911099,form_subgroup_single_59874091,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_single_59874091,form_element_body_mass_index_92306680,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_demographic_data_31033948,form_subgroup_demographic_data_98905728,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_demographic_data_98905728,form_subgroup_components_12667252,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_12667252,form_element_birth_date_11379013,canonical_containment,containment,0.85,0.85,1.0,0.0
form_element_fields_insertions_1_17939053,form_element_irradiated_area_1_64339815,canonical_association,cooccurrence,0.6532894736842105,0.6532894736842105,0.75,0.10526315789473684
form_element_irradiated_area_1_64339815,form_element_fields_insertions_1_17939053,canonical_association,cooccurrence,0.6532894736842105,0.6532894736842105,0.75,0.10526315789473684
