source,target,edge_type,source_schema_edge_type,weight,structural_connectivity,containment_connectivity,cooccurrence_connectivity
form_group_outpatient_high_complexity_procedures_86776689,form_subgroup_hcpa_63052740,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_hcpa_63052740,form_subgroup_components_74396990,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_74396990,form_subgroup_general_data_90232307,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_90232307,form_element_issue_date_13368484,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_90232307,form_element_reason_for_encounter_76090876,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_90232307,form_element_healthcare_unit_22675614,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_90232307,form_element_state_82962080,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_90232307,form_element_patient_age_45167879,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_74396990,form_subgroup_radiotherapy_5024218,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_radiotherapy_5024218,form_element_date_of_beginning_of_radiotherapy_65443276,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_86776689,form_subgroup_patient_discharge_76758093,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_patient_discharge_76758093,form_subgroup_components_89202726,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_89202726,form_element_date_of_discharge_81974905,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_89202726,form_element_reason_for_discharge_24683669,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_86776689,form_subgroup_problem_diagnosis_90072478,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_problem_diagnosis_90072478,form_subgroup_structure_84431785,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_84431785,form_element_problem_88102170,canonical_containment,containment,0.5,0.5,1.0,0.0
