source,target,edge_type,source_schema_edge_type,weight,structural_connectivity,containment_connectivity,cooccurrence_connectivity
form_group_outpatient_high_complexity_procedures_8456040,form_subgroup_hcpa_82601,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_hcpa_82601,form_subgroup_components_14809695,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_14809695,form_subgroup_general_data_61431386,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_61431386,form_element_issue_date_82186217,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_61431386,form_element_reason_for_encounter_66565105,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_61431386,form_element_healthcare_unit_6387886,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_61431386,form_element_state_30118575,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_61431386,form_element_patient_age_41782374,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_14809695,form_subgroup_radiotherapy_19231811,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_radiotherapy_19231811,form_element_date_of_beginning_of_radiotherapy_56230343,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_8456040,form_subgroup_patient_discharge_30612754,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_patient_discharge_30612754,form_subgroup_components_60417197,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_60417197,form_element_date_of_discharge_43563699,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_60417197,form_element_reason_for_discharge_41968213,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_8456040,form_subgroup_problem_diagnosis_99958668,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_problem_diagnosis_99958668,form_subgroup_structure_72017472,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_72017472,form_element_problem_37189755,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_72017472,form_element_secondary_diagnosis_89159750,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_72017472,form_element_associated_causes_23674996,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_72017472,form_element_invaded_regional_linphonodes_45638663,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_72017472,form_subgroup_tumour_tnm_cancer_staging_80415472,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_80415472,form_subgroup_clinical_ctnm_42817255,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_clinical_ctnm_42817255,form_element_clinical_staging_18691914,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_80415472,form_subgroup_pathological_ptnm_57627615,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_pathological_ptnm_57627615,form_element_histopathological_grading_g_80061730,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_pathological_ptnm_57627615,form_element_date_of_pathological_identification_20961404,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_80415472,form_element_topography_20691120,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_8456040,form_subgroup_procedure_undertaken_57377197,canonical_containment,containment,0.5,0.5,1.0,0.0
