source,target,edge_type,source_schema_edge_type,weight,structural_connectivity,containment_connectivity,cooccurrence_connectivity
form_group_outpatient_high_complexity_procedures_19477398,form_subgroup_hcpa_6229596,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_hcpa_6229596,form_subgroup_components_538490,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_538490,form_subgroup_general_data_12819264,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_12819264,form_element_issue_date_52496835,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_12819264,form_element_reason_for_encounter_80591129,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_12819264,form_element_healthcare_unit_5782744,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_12819264,form_element_state_3808286,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_12819264,form_element_patient_age_7802600,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_538490,form_subgroup_radiotherapy_51082103,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_radiotherapy_51082103,form_element_date_of_beginning_of_radiotherapy_1886379,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_19477398,form_subgroup_patient_discharge_18492743,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_patient_discharge_18492743,form_subgroup_components_62065637,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_62065637,form_element_date_of_discharge_13148865,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_62065637,form_element_reason_for_discharge_97803460,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_19477398,form_subgroup_problem_diagnosis_72380798,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_problem_diagnosis_72380798,form_subgroup_structure_38301552,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_38301552,form_element_problem_83775262,canonical_containment,containment,0.5,0.5,1.0,0.0
