method,field_count,form_group_count,subgroup_count,max_depth,avg_depth,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,ambiguous_label_resolution_rate
aqf_full,0,0,0,0,0,0,0,0,1.0
aqf_topk_no_threshold,0,0,0,0,0,0,0,0,1.0
frequency_only,0,0,0,0,0,0,0,0,1.0
flattened_topk,0,0,0,0,0,0,0,0,1.0
no_operator_awareness,0,0,0,0,0,0,0,0,1.0
no_pruning,0,0,0,0,0,0,0,0,1.0
random_topk_1,0,0,0,0,0,0,0,0,1.0
random_topk_2,0,0,0,0,0,0,0,0,1.0
random_topk_3,0,0,0,0,0,0,0,0,1.0
random_topk_4,0,0,0,0,0,0,0,0,1.0
random_topk_5,0,0,0,0,0,0,0,0,1.0
random_topk_6,0,0,0,0,0,0,0,0,1.0
random_topk_7,0,0,0,0,0,0,0,0,1.0
random_topk_8,0,0,0,0,0,0,0,0,1.0
random_topk_9,0,0,0,0,0,0,0,0,1.0
random_topk_10,0,0,0,0,0,0,0,0,1.0
random_topk_11,0,0,0,0,0,0,0,0,1.0
random_topk_12,0,0,0,0,0,0,0,0,1.0
random_topk_13,0,0,0,0,0,0,0,0,1.0
random_topk_14,0,0,0,0,0,0,0,0,1.0
random_topk_15,0,0,0,0,0,0,0,0,1.0
random_topk_16,0,0,0,0,0,0,0,0,1.0
random_topk_17,0,0,0,0,0,0,0,0,1.0
random_topk_18,0,0,0,0,0,0,0,0,1.0
random_topk_19,0,0,0,0,0,0,0,0,1.0
random_topk_20,0,0,0,0,0,0,0,0,1.0
random_topk_21,0,0,0,0,0,0,0,0,1.0
random_topk_22,0,0,0,0,0,0,0,0,1.0
random_topk_23,0,0,0,0,0,0,0,0,1.0
random_topk_24,0,0,0,0,0,0,0,0,1.0
random_topk_25,0,0,0,0,0,0,0,0,1.0
random_topk_26,0,0,0,0,0,0,0,0,1.0
random_topk_27,0,0,0,0,0,0,0,0,1.0
random_topk_28,0,0,0,0,0,0,0,0,1.0
random_topk_29,0,0,0,0,0,0,0,0,1.0
random_topk_30,0,0,0,0,0,0,0,0,1.0
