method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,29,157,157,0,144.25
aqf_topk_no_threshold,29,157,157,0,144.25
flattened_topk,29,157,157,0,144.25
frequency_only,29,151,151,0,137.0
no_operator_awareness,29,319,157,162,348.0
no_pruning,35,187,187,0,172.5
random_topk_1,29,151,151,0,139.0
random_topk_10,29,155,155,0,143.5
random_topk_11,29,160,160,0,149.75
random_topk_12,29,155,155,0,143.0
random_topk_13,29,155,155,0,143.5
random_topk_14,29,157,157,0,145.25
random_topk_15,29,155,155,0,142.5
random_topk_16,29,153,153,0,141.25
random_topk_17,30,159,159,0,146.75
random_topk_18,29,153,153,0,139.75
random_topk_19,29,155,155,0,143.5
random_topk_2,29,154,154,0,142.0
random_topk_20,29,158,158,0,147.0
random_topk_21,29,154,154,0,141.5
random_topk_22,29,151,151,0,138.5
random_topk_23,29,151,151,0,138.5
random_topk_24,29,155,155,0,143.0
random_topk_25,29,157,157,0,144.75
random_topk_26,29,151,151,0,138.0
random_topk_27,29,159,159,0,148.0
random_topk_28,29,158,158,0,146.5
random_topk_29,29,151,151,0,138.0
random_topk_3,29,160,160,0,149.25
random_topk_30,29,155,155,0,142.0
random_topk_4,29,155,155,0,143.5
random_topk_5,29,151,151,0,137.5
random_topk_6,29,153,153,0,140.25
random_topk_7,29,159,159,0,147.5
random_topk_8,29,153,153,0,140.25
random_topk_9,29,157,157,0,145.75
