method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,29,7,11,6,1.0,35.0,157,157,0,144.25,21.74074074074074,42,0.8809523809523809,0.8809523809523809,True
aqf_topk_no_threshold,29,7,11,6,1.0,35.0,157,157,0,144.25,21.74074074074074,42,0.8809523809523809,0.8809523809523809,True
frequency_only,29,7,11,6,1.0,35.0,151,151,0,137.0,21.74074074074074,42,0.8571428571428571,0.9008503401360545,False
flattened_topk,29,1,1,6,1.0,35.0,157,157,0,144.25,21.74074074074074,42,0.8809523809523809,0.8809523809523809,True
no_operator_awareness,29,7,11,6,1.0,35.0,319,157,162,348.0,21.74074074074074,42,0.8809523809523809,0.8809523809523809,True
no_pruning,35,7,12,6,1.0,41.0,187,187,0,172.5,22.62962962962963,42,0.9523809523809523,0.9523809523809523,True
random_topk_1,29,7,11,6,1.0,35.0,151,151,0,139.0,18.185185185185183,42,0.5,0.7,False
random_topk_2,29,7,12,6,1.0,35.0,154,154,0,142.0,19.037037037037038,42,0.7857142857142857,0.8524943310657596,False
random_topk_3,29,7,11,6,1.0,35.0,160,160,0,149.25,18.88888888888889,42,0.6666666666666666,0.7765306122448979,False
random_topk_4,29,7,12,6,1.0,35.0,155,155,0,143.5,18.333333333333332,42,0.7619047619047619,0.8638321995464852,False
random_topk_5,29,6,11,6,1.0,35.0,151,151,0,137.5,18.48148148148148,42,0.7142857142857143,0.8498299319727891,False
random_topk_6,29,7,12,6,1.0,35.0,153,153,0,140.25,18.62962962962963,42,0.6428571428571429,0.7827097505668935,False
random_topk_7,29,7,11,6,1.0,35.0,159,159,0,147.5,19.62962962962963,42,0.7619047619047619,0.819047619047619,False
random_topk_8,29,7,12,6,1.0,35.0,153,153,0,140.25,18.074074074074073,42,0.7142857142857143,0.8341836734693877,False
random_topk_9,29,7,11,6,1.0,35.0,157,157,0,145.75,18.77777777777778,42,0.7380952380952381,0.8142290249433107,False
random_topk_10,29,7,11,6,1.0,35.0,155,155,0,143.5,18.185185185185183,42,0.6904761904761905,0.8014739229024944,False
random_topk_11,29,7,12,6,1.0,35.0,160,160,0,149.75,19.037037037037038,42,0.42857142857142855,0.665702947845805,False
random_topk_12,29,7,12,6,1.0,35.0,155,155,0,143.0,17.62962962962963,42,0.6666666666666666,0.7515873015873016,False
random_topk_13,29,7,11,6,1.0,35.0,155,155,0,143.5,19.037037037037038,42,0.6428571428571429,0.7869614512471654,False
random_topk_14,29,7,10,6,1.0,35.0,157,157,0,145.25,19.88888888888889,42,0.8095238095238095,0.8733560090702949,False
random_topk_15,29,7,12,6,1.0,35.0,155,155,0,142.5,18.62962962962963,42,0.7142857142857143,0.8252834467120183,False
random_topk_16,29,7,12,6,1.0,35.0,153,153,0,141.25,17.62962962962963,42,0.6666666666666666,0.8290249433106576,False
random_topk_17,30,7,10,5,1.0,35.0,159,159,0,146.75,19.74074074074074,42,0.6904761904761905,0.8055555555555556,False
random_topk_18,29,7,11,6,1.0,35.0,153,153,0,139.75,19.037037037037038,42,0.5238095238095238,0.6831632653061225,False
random_topk_19,29,6,11,6,1.0,35.0,155,155,0,143.5,18.62962962962963,42,0.8095238095238095,0.8952380952380953,False
random_topk_20,29,7,12,6,1.0,35.0,158,158,0,147.0,18.88888888888889,42,0.7619047619047619,0.8463718820861679,False
random_topk_21,29,7,11,6,1.0,35.0,154,154,0,141.5,18.88888888888889,42,0.6428571428571429,0.7832766439909297,False
random_topk_22,29,7,11,6,1.0,35.0,151,151,0,138.5,19.88888888888889,42,0.7857142857142857,0.8679138321995464,False
random_topk_23,29,5,10,6,1.0,35.0,151,151,0,138.5,16.925925925925927,42,0.4523809523809524,0.6744897959183673,False
random_topk_24,29,7,12,6,1.0,35.0,155,155,0,143.0,19.037037037037038,42,0.6666666666666666,0.7976190476190477,False
random_topk_25,29,6,10,6,1.0,35.0,157,157,0,144.75,20.037037037037038,42,0.7142857142857143,0.8335034013605442,False
random_topk_26,29,7,12,6,1.0,35.0,151,151,0,138.0,18.185185185185183,42,0.47619047619047616,0.6981292517006803,False
random_topk_27,29,7,11,6,1.0,35.0,159,159,0,148.0,18.037037037037038,42,0.6666666666666666,0.7782312925170067,False
random_topk_28,29,7,12,6,1.0,35.0,158,158,0,146.5,18.185185185185183,42,0.7380952380952381,0.8378117913832199,False
random_topk_29,29,7,12,6,1.0,35.0,151,151,0,138.0,18.333333333333332,42,0.6666666666666666,0.8031179138321995,False
random_topk_30,29,7,12,6,1.0,35.0,155,155,0,142.0,18.333333333333332,42,0.7380952380952381,0.840532879818594,False
