comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.8809523809523809,0.9523809523809523,-0.0714285714285714,-7.499999999999997
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.8809523809523809,0.9523809523809523,-0.0714285714285714,-7.499999999999997
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,29.0,35.0,-6.0,-17.142857142857142
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,157.0,187.0,-30.0,-16.0427807486631
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,35.0,41.0,-6.0,-14.634146341463413
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,144.25,172.5,-28.25,-16.3768115942029
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.8809523809523809,0.8809523809523809,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.8809523809523809,0.8809523809523809,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,157.0,319.0,-162.0,-50.78369905956113
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,144.25,348.0,-203.75,-58.54885057471264
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,162.0,-162.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.8809523809523809,0.8571428571428571,0.023809523809523836,2.7777777777777812
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.8809523809523809,0.9008503401360545,-0.01989795918367354,-2.2087974325089754
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,157.0,151.0,6.0,3.9735099337748347
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,144.25,137.0,7.25,5.291970802919708
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.8809523809523809,0.8809523809523809,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.8809523809523809,0.8809523809523809,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,157.0,157.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,144.25,144.25,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
