method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,29,7,9,6,1.0,35.0,165,165,0,153.25,68.12169691669843
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,165,165,0,153.25,68.12169691669843
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,67.46256032450137
flattened_topk,29,1,1,6,1.0,35.0,165,165,0,153.25,68.12169691669843
no_operator_awareness,29,7,9,6,1.0,35.0,319,165,154,348.0,68.12169691669843
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,90.66366871579507
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,45.3620632305801
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,46.413848337485916
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,46.97834743946451
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,50.09993780760679
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,43.31296394033839
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,53.31751749896216
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,47.01919413729444
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,51.78279861211607
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,50.60499051832481
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,49.43124805018931
random_topk_11,29,10,15,6,1.0,35.0,155,155,0,141.75,49.257774168526744
random_topk_12,29,9,15,6,1.0,35.0,155,155,0,143.5,48.236431223168786
random_topk_13,29,9,15,6,1.0,35.0,150,150,0,136.75,50.02551584618089
random_topk_14,29,10,16,6,1.0,35.0,154,154,0,141.75,49.93701624722796
random_topk_15,29,10,17,6,1.0,35.0,159,159,0,147.5,46.87435180214562
random_topk_16,29,7,12,6,1.0,35.0,146,146,0,131.75,51.581399284816996
random_topk_17,29,9,15,6,1.0,35.0,148,148,0,134.5,48.721482299214976
random_topk_18,29,9,15,6,1.0,35.0,154,154,0,141.75,45.893213005560085
random_topk_19,29,9,13,6,1.0,35.0,152,152,0,139.25,53.56335740488724
random_topk_20,29,9,16,6,1.0,35.0,151,151,0,139.0,47.807745127280164
random_topk_21,29,10,16,6,1.0,35.0,148,148,0,135.25,46.770181215606264
random_topk_22,29,10,14,6,1.0,35.0,149,149,0,135.75,51.607672381516316
random_topk_23,29,11,16,6,1.0,35.0,157,157,0,145.0,43.970900715189096
random_topk_24,29,9,14,6,1.0,35.0,150,150,0,136.5,49.92206425517475
random_topk_25,29,9,14,6,1.0,35.0,155,155,0,142.5,56.72425653164248
random_topk_26,29,10,15,6,1.0,35.0,154,154,0,142.25,47.548375290908346
random_topk_27,29,9,14,6,1.0,35.0,157,157,0,145.25,49.81125188966581
random_topk_28,29,10,15,6,1.0,35.0,151,151,0,139.0,44.934716372536386
random_topk_29,29,9,13,6,1.0,35.0,156,156,0,143.5,55.28189548910161
random_topk_30,29,10,17,6,1.0,35.0,155,155,0,144.0,46.9788626757205
