method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,form_complexity_elements,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,form_utility,query_count,strict_coverage,partial_coverage,field_efficiency,operator_efficiency,weighted_operator_efficiency,complexity_efficiency,used_field_count,unused_field_count,redundancy_ratio
aqf_full,29,7,9,6,1.0,35.0,29,165,165,0,153.25,1.0,1.0,5,68.12169691669843,54,0.6481481481481481,0.7080246913580247,0.02234993614303959,0.003928170594837262,0.004229351700803577,0.018518518518518517,23,6,0.20689655172413793
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,29,165,165,0,153.25,1.0,1.0,5,68.12169691669843,54,0.6481481481481481,0.7080246913580247,0.02234993614303959,0.003928170594837262,0.004229351700803577,0.018518518518518517,23,6,0.20689655172413793
flattened_topk,29,1,1,6,1.0,35.0,29,165,165,0,153.25,0.0,1.0,5,68.12169691669843,54,0.6481481481481481,0.7080246913580247,0.02234993614303959,0.003928170594837262,0.004229351700803577,0.018518518518518517,23,6,0.20689655172413793
frequency_only,29,7,9,6,1.0,35.0,29,153,153,0,139.25,1.0,1.0,5,67.46256032450137,54,0.6296296296296297,0.7102880658436214,0.021711366538952746,0.00411522633744856,0.004521577232528759,0.01798941798941799,24,5,0.1724137931034483
no_operator_awareness,29,7,9,6,1.0,35.0,29,319,165,154,348.0,1.0,1.0,5,68.12169691669843,54,0.6481481481481481,0.7080246913580247,0.02234993614303959,0.0020318123766399627,0.0018624946785866325,0.018518518518518517,23,6,0.20689655172413793
no_pruning,54,11,19,6,1.0,60.0,54,285,285,0,262.25,1.0,1.0,5,90.66366871579507,54,0.9814814814814816,0.9814814814814816,0.018175582990397808,0.0034437946718648476,0.0037425413974508355,0.01635802469135803,40,14,0.25925925925925924
random_topk_1,29,8,13,6,1.0,35.0,29,155,155,0,143.25,1.0,1.0,2,45.3620632305801,54,0.4074074074074074,0.5775426219870664,0.0140485312899106,0.0026284348864994023,0.002844030767241936,0.01164021164021164,21,8,0.27586206896551724
random_topk_10,29,9,14,6,1.0,35.0,29,153,153,0,140.25,1.0,1.0,1,49.43124805018931,54,0.3703703703703703,0.5696649029982364,0.012771392081736907,0.0024207213749697404,0.0026407869545124443,0.01058201058201058,23,6,0.20689655172413793
random_topk_11,29,10,15,6,1.0,35.0,29,155,155,0,141.75,1.0,1.0,0,49.257774168526744,54,0.6111111111111112,0.756305114638448,0.0210727969348659,0.003942652329749104,0.004311189496374682,0.01746031746031746,24,5,0.1724137931034483
random_topk_12,29,9,15,6,1.0,35.0,29,155,155,0,143.5,1.0,1.0,1,48.236431223168786,54,0.3518518518518518,0.5231922398589065,0.012132822477650062,0.002270011947431302,0.0024519292811975737,0.010052910052910051,23,6,0.20689655172413793
random_topk_13,29,9,15,6,1.0,35.0,29,150,150,0,136.75,1.0,1.0,2,50.02551584618089,54,0.5370370370370371,0.6695767195767196,0.01851851851851852,0.003580246913580247,0.003927144694969193,0.015343915343915345,20,9,0.3103448275862069
random_topk_14,29,10,16,6,1.0,35.0,29,154,154,0,141.75,1.0,1.0,2,49.93701624722796,54,0.5,0.6236037624926515,0.017241379310344827,0.003246753246753247,0.003527336860670194,0.014285714285714285,23,6,0.20689655172413793
random_topk_15,29,10,17,6,1.0,35.0,29,159,159,0,147.5,1.0,1.0,1,46.87435180214562,54,0.4074074074074074,0.567636684303351,0.0140485312899106,0.002562310738411367,0.0027620841180163213,0.01164021164021164,21,8,0.27586206896551724
