method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,29,165,165,0,153.25
aqf_topk_no_threshold,29,165,165,0,153.25
flattened_topk,29,165,165,0,153.25
frequency_only,29,153,153,0,139.25
no_operator_awareness,29,319,165,154,348.0
no_pruning,54,285,285,0,262.25
random_topk_1,29,155,155,0,143.25
random_topk_10,29,153,153,0,140.25
random_topk_11,29,155,155,0,141.75
random_topk_12,29,155,155,0,143.5
random_topk_13,29,150,150,0,136.75
random_topk_14,29,154,154,0,141.75
random_topk_15,29,159,159,0,147.5
random_topk_16,29,146,146,0,131.75
random_topk_17,29,148,148,0,134.5
random_topk_18,29,154,154,0,141.75
random_topk_19,29,152,152,0,139.25
random_topk_2,29,161,161,0,150.75
random_topk_20,29,151,151,0,139.0
random_topk_21,29,148,148,0,135.25
random_topk_22,29,149,149,0,135.75
random_topk_23,29,157,157,0,145.0
random_topk_24,29,150,150,0,136.5
random_topk_25,29,155,155,0,142.5
random_topk_26,29,154,154,0,142.25
random_topk_27,29,157,157,0,145.25
random_topk_28,29,151,151,0,139.0
random_topk_29,29,156,156,0,143.5
random_topk_3,29,142,142,0,126.75
random_topk_30,29,155,155,0,144.0
random_topk_4,29,150,150,0,136.25
random_topk_5,29,151,151,0,139.75
random_topk_6,29,162,162,0,151.0
random_topk_7,29,152,152,0,140.5
random_topk_8,29,152,152,0,139.0
random_topk_9,29,149,149,0,135.5
