method,field_count,used_field_count,unused_field_count,redundancy_ratio
aqf_full,29,23,6,0.20689655172413793
aqf_topk_no_threshold,29,23,6,0.20689655172413793
flattened_topk,29,23,6,0.20689655172413793
frequency_only,29,24,5,0.1724137931034483
no_operator_awareness,29,23,6,0.20689655172413793
no_pruning,54,40,14,0.25925925925925924
random_topk_1,29,21,8,0.27586206896551724
random_topk_10,29,23,6,0.20689655172413793
random_topk_11,29,24,5,0.1724137931034483
random_topk_12,29,23,6,0.20689655172413793
random_topk_13,29,20,9,0.3103448275862069
random_topk_14,29,23,6,0.20689655172413793
random_topk_15,29,21,8,0.27586206896551724
random_topk_16,29,23,6,0.20689655172413793
random_topk_17,29,23,6,0.20689655172413793
random_topk_18,29,21,8,0.27586206896551724
random_topk_19,29,23,6,0.20689655172413793
random_topk_2,29,24,5,0.1724137931034483
random_topk_20,29,22,7,0.2413793103448276
random_topk_21,29,22,7,0.2413793103448276
random_topk_22,29,20,9,0.3103448275862069
random_topk_23,29,20,9,0.3103448275862069
random_topk_24,29,19,10,0.3448275862068966
random_topk_25,29,21,8,0.27586206896551724
random_topk_26,29,20,9,0.3103448275862069
random_topk_27,29,20,9,0.3103448275862069
random_topk_28,29,21,8,0.27586206896551724
random_topk_29,29,21,8,0.27586206896551724
random_topk_3,29,22,7,0.2413793103448276
random_topk_30,29,24,5,0.1724137931034483
random_topk_4,29,22,7,0.2413793103448276
random_topk_5,29,24,5,0.1724137931034483
random_topk_6,29,24,5,0.1724137931034483
random_topk_7,29,23,6,0.20689655172413793
random_topk_8,29,22,7,0.2413793103448276
random_topk_9,29,21,8,0.27586206896551724
