comparison,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_aqf_topk_no_threshold,strict_coverage,0.6481481481481481,0.6481481481481481,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,partial_coverage,0.7080246913580247,0.7080246913580247,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,operator_count,165.0,165.0,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,weighted_operator_burden,153.25,153.25,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,field_efficiency,0.02234993614303959,0.02234993614303959,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,operator_efficiency,0.003928170594837262,0.003928170594837262,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,redundancy_ratio,0.20689655172413793,0.20689655172413793,0.0,0.0
aqf_full_vs_flattened_topk,strict_coverage,0.6481481481481481,0.6481481481481481,0.0,0.0
aqf_full_vs_flattened_topk,partial_coverage,0.7080246913580247,0.7080246913580247,0.0,0.0
aqf_full_vs_flattened_topk,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_flattened_topk,operator_count,165.0,165.0,0.0,0.0
aqf_full_vs_flattened_topk,weighted_operator_burden,153.25,153.25,0.0,0.0
aqf_full_vs_flattened_topk,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_flattened_topk,field_efficiency,0.02234993614303959,0.02234993614303959,0.0,0.0
aqf_full_vs_flattened_topk,operator_efficiency,0.003928170594837262,0.003928170594837262,0.0,0.0
aqf_full_vs_flattened_topk,redundancy_ratio,0.20689655172413793,0.20689655172413793,0.0,0.0
aqf_full_vs_frequency_only,strict_coverage,0.6481481481481481,0.6296296296296297,0.01851851851851849,2.9411764705882306
aqf_full_vs_frequency_only,partial_coverage,0.7080246913580247,0.7102880658436214,-0.0022633744855966587,-0.3186558516801785
aqf_full_vs_frequency_only,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_frequency_only,operator_count,165.0,153.0,12.0,7.8431372549019605
aqf_full_vs_frequency_only,weighted_operator_burden,153.25,139.25,14.0,10.053859964093357
aqf_full_vs_frequency_only,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_frequency_only,field_efficiency,0.02234993614303959,0.021711366538952746,0.0006385696040868451,2.9411764705882337
aqf_full_vs_frequency_only,operator_efficiency,0.003928170594837262,0.00411522633744856,-0.00018705574261129818,-4.545454545454546
aqf_full_vs_frequency_only,redundancy_ratio,0.20689655172413793,0.1724137931034483,0.03448275862068964,19.99999999999999
aqf_full_vs_no_operator_awareness,strict_coverage,0.6481481481481481,0.6481481481481481,0.0,0.0
aqf_full_vs_no_operator_awareness,partial_coverage,0.7080246913580247,0.7080246913580247,0.0,0.0
aqf_full_vs_no_operator_awareness,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator_count,165.0,319.0,-154.0,-48.275862068965516
aqf_full_vs_no_operator_awareness,weighted_operator_burden,153.25,348.0,-194.75,-55.962643678160916
aqf_full_vs_no_operator_awareness,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_no_operator_awareness,field_efficiency,0.02234993614303959,0.02234993614303959,0.0,0.0
aqf_full_vs_no_operator_awareness,operator_efficiency,0.003928170594837262,0.0020318123766399627,0.001896358218197299,93.33333333333336
aqf_full_vs_no_operator_awareness,redundancy_ratio,0.20689655172413793,0.20689655172413793,0.0,0.0
aqf_full_vs_no_pruning,strict_coverage,0.6481481481481481,0.9814814814814816,-0.3333333333333335,-33.962264150943405
aqf_full_vs_no_pruning,partial_coverage,0.7080246913580247,0.9814814814814816,-0.2734567901234569,-27.861635220125798
aqf_full_vs_no_pruning,field_count,29.0,54.0,-25.0,-46.2962962962963
aqf_full_vs_no_pruning,operator_count,165.0,285.0,-120.0,-42.10526315789473
aqf_full_vs_no_pruning,weighted_operator_burden,153.25,262.25,-109.0,-41.56339370829361
aqf_full_vs_no_pruning,final_complexity,35.0,60.0,-25.0,-41.66666666666667
aqf_full_vs_no_pruning,field_efficiency,0.02234993614303959,0.018175582990397808,0.004174353152641783,22.96681847755366
aqf_full_vs_no_pruning,operator_efficiency,0.003928170594837262,0.0034437946718648476,0.0004843759229724142,14.06518010291595
aqf_full_vs_no_pruning,redundancy_ratio,0.20689655172413793,0.25925925925925924,-0.05236270753512132,-20.197044334975367
aqf_full_vs_random_topk_1,strict_coverage,0.6481481481481481,0.4074074074074074,0.24074074074074076,59.09090909090909
aqf_full_vs_random_topk_1,partial_coverage,0.7080246913580247,0.5775426219870664,0.1304820693709583,22.592630293159615
aqf_full_vs_random_topk_1,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_random_topk_1,operator_count,165.0,155.0,10.0,6.451612903225806
aqf_full_vs_random_topk_1,weighted_operator_burden,153.25,143.25,10.0,6.980802792321117
