node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
schema:root,root,EHR Schema,0,0.0,17.792025818384516,1.0,0.055739901533798916,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,composition_family,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1,0.0,5.993269230769231,0.33685142388768236,0.02770065628281853,0.01744697332253319,0.01744697332253319,0.01744697332253319,0.01744697332253319,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,canonical_group,HCPA,2,0.0,2.275,0.1278662712848157,0.03037241819124995,0.01912975506837493,0.01912975506837493,0.01912975506837493,0.01912975506837493,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,canonical_subgroup,components / General data,3,0.0,2.275,0.1278662712848157,0.11170145811372204,0.07035401399521903,0.07035401399521903,0.07035401399521903,0.07035401399521903,,,,,,,,,,,,,,,,
field:cf_5cd62eaa6e16a8,field,issue date,4,0.5096153846153846,0.5096153846153846,0.02864290945940504,0.6841176896870439,0.4308844873414108,0.4308844873414108,0.4308844873414108,0.4308844873414108,cf_5cd62eaa6e16a8,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,1.0,0.38461538461538464,0.38461538461538464,0.5,0.5096153846153846,6.0,6.0,4.0
field:cf_775d9002cb4e7b,field,reason for encounter,4,0.425,0.425,0.023887105624635904,0.6980229423430591,0.43964256764303367,0.43964256764303367,0.43964256764303367,0.43964256764303367,cf_775d9002cb4e7b,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_b87e8363f020f7,field,healthcare unit,4,0.425,0.425,0.023887105624635904,0.6498740530712248,0.4093164851828018,0.4093164851828018,0.4093164851828018,0.4093164851828018,cf_b87e8363f020f7,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_8b431261fa7dca,field,State,4,0.425,0.425,0.023887105624635904,0.5495847767125964,0.34615031643573,0.34615031643573,0.34615031643573,0.34615031643573,cf_8b431261fa7dca,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_16800b2d3f5ef6,field,patient age,4,0.49038461538461536,0.49038461538461536,0.027562044951502964,0.7657675434293042,0.4823108075515039,0.4823108075515039,0.4823108075515039,0.4823108075515039,cf_16800b2d3f5ef6,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,1.0,0.36538461538461536,0.36538461538461536,0.5,0.49038461538461536,6.0,6.0,4.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,canonical_group,Patient discharge,2,0.0,0.8105769230769231,0.04555843900807255,0.1366700813608726,0.08608024442260488,0.08608024442260488,0.08608024442260488,0.08608024442260488,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,canonical_subgroup,Components,3,0.0,0.8105769230769231,0.04555843900807255,0.22849335215195646,0.14391418667737568,0.14391418667737568,0.14391418667737568,0.14391418667737568,,,,,,,,,,,,,,,,
field:cf_469c691048a0ce,field,date of discharge,4,0.4168269230769231,0.4168269230769231,0.023427738208777523,0.5057103430255244,0.31851645584180666,0.31851645584180666,0.31851645584180666,0.31851645584180666,cf_469c691048a0ce,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,Components,temporal,DV_DATE_TIME,after;before;between;equals;is_known;is_unknown,1.0,0.3230769230769231,0.3230769230769231,0.375,0.4168269230769231,6.0,6.0,3.0
field:cf_49533263f29569,field,reason for discharge,4,0.39375,0.39375,0.02213070079929503,0.48702587505221173,0.30674823595026895,0.30674823595026895,0.30674823595026895,0.30674823595026895,cf_49533263f29569,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,Components,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,canonical_group,Problem/Diagnosis,2,0.0,1.5067307692307692,0.08468573419412774,0.02793559799655552,0.017594948943401852,0.017594948943401852,0.017594948943401852,0.017594948943401852,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,canonical_subgroup,structure,3,0.0,1.5067307692307692,0.08468573419412774,0.1452466578427648,0.09148211286754315,0.09148211286754315,0.09148211286754315,0.09148211286754315,,,,,,,,,,,,,,,,
field:cf_bd9db9ae67063d,field,Problem,4,0.425,0.425,0.023887105624635904,0.5442345059893492,0.3427805034744854,0.3427805034744854,0.3427805034744854,0.3427805034744854,cf_bd9db9ae67063d,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_4e7e8ca2916a1e,field,Secondary Diagnosis,4,0.425,0.425,0.023887105624635904,0.6228183163175998,0.3922757077895686,0.3922757077895686,0.3922757077895686,0.3922757077895686,cf_4e7e8ca2916a1e,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_0a229c157b8d2a,field,Associated causes,4,0.425,0.425,0.023887105624635904,0.575988964952656,0.3627807227020681,0.3627807227020681,0.3627807227020681,0.3627807227020681,cf_0a229c157b8d2a,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,canonical_group,Procedure undertaken,2,0.0,1.4009615384615384,0.07874097940066631,0.06169724867789475,0.03885937722076956,0.03885937722076956,0.03885937722076956,0.03885937722076956,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken::Procedure_list,canonical_subgroup,Procedure list,3,0.0,1.4009615384615384,0.07874097940066631,0.09011643175056494,0.05675890724831637,0.05675890724831637,0.05675890724831637,0.05675890724831637,,,,,,,,,,,,,,,,
field:cf_0b6364bb149692,field,Procedure,4,0.39375,0.39375,0.02213070079929503,0.45276895832505754,0.2851718694501867,0.2851718694501867,0.2851718694501867,0.2851718694501867,cf_0b6364bb149692,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
field:cf_af0c9a7d79fe64,field,Invaded regional linphonodes,4,0.23173076923076924,0.23173076923076924,0.01302441732022003,0.31065334756953394,0.19566181437235647,0.19566181437235647,0.19566181437235647,0.19566181437235647,cf_af0c9a7d79fe64,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,boolean,DV_BOOLEAN,equals;is_known;is_unknown,0.3557692307692308,0.3,0.10673076923076923,0.5,0.23173076923076924,3.0,2.0,4.0
field:cf_e5c01940113606,field,irradiated area 1,4,0.1610576923076923,0.1610576923076923,0.009052240253679894,0.1866106681570314,0.11753480913213023,0.11753480913213023,0.11753480913213023,0.11753480913213023,cf_e5c01940113606,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,0.22115384615384615,0.30434782608695654,0.0673076923076923,0.375,0.1610576923076923,6.0,5.5,3.0
field:cf_fc5be63ab59287,field,irradiated area 2,4,0.31490384615384615,0.31490384615384615,0.017699156316896513,0.407178217677972,0.25645701057813913,0.25645701057813913,0.25645701057813913,0.25645701057813913,cf_fc5be63ab59287,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,0.22115384615384615,1.0,0.22115384615384615,0.375,0.31490384615384615,6.0,5.5,3.0
field:cf_821e1930333a5c,field,irradiated area 3,4,0.10336538461538461,0.10336538461538461,0.005809646729973664,0.11762974008019486,0.07408788139032689,0.07408788139032689,0.07408788139032689,0.07408788139032689,cf_821e1930333a5c,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,null,NULL_FLAVOUR,equals;is_known;is_unknown,0.22115384615384615,0.043478260869565216,0.009615384615384614,0.375,0.10336538461538461,3.0,2.0,3.0
field:cf_c9b3a708f95249,field,fields/insertions 1,4,0.1923076923076923,0.1923076923076923,0.01080864507902077,0.22802860264357325,0.14362146898175013,0.14362146898175013,0.14362146898175013,0.14362146898175013,cf_c9b3a708f95249,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.22115384615384615,0.30434782608695654,0.0673076923076923,0.5,0.1923076923076923,6.0,6.0,4.0
field:cf_bbec72e0a270f7,field,fields/insertions 2,4,0.23557692307692307,0.23557692307692307,0.013240590221800444,0.2910173077469089,0.18329425674311609,0.18329425674311609,0.18329425674311609,0.18329425674311609,cf_bbec72e0a270f7,Procedure undertaken / Procedure list / fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.22115384615384615,0.5,0.11057692307692307,0.5,0.23557692307692307,6.0,6.0,4.0
family:openEHR-EHR-COMPOSITION.hospitalisation.v1,composition_family,openEHR-EHR-COMPOSITION.hospitalisation.v1,1,0.0,9.154438405797102,0.5145247932552914,0.09216947937768888,0.05805199817058953,0.05805199817058953,0.05805199817058953,0.05805199817058953,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge,canonical_group,Patient discharge,2,0.0,1.8083333333333333,0.10163729255972531,0.15202084933660848,0.09574876767413448,0.09574876767413448,0.09574876767413448,0.09574876767413448,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge::Components,canonical_subgroup,Components,3,0.0,1.8083333333333333,0.10163729255972531,0.25726999505549336,0.1620388591011652,0.1620388591011652,0.1620388591011652,0.1620388591011652,,,,,,,,,,,,,,,,
