source,target,source_label,target_label,source_type,target_type,distance,source_base_queriability,pairwise_influence
schema:root,schema:root,EHR Schema,EHR Schema,root,root,0.0,0.02,0.02
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,schema:root,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,EHR Schema,composition_family,root,5.114493259294764,0.02,0.0006713953646121443
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,schema:root,HCPA,EHR Schema,canonical_group,root,17.913080490639956,0.02,2.403243275849054e-07
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,schema:root,components / General data,EHR Schema,canonical_subgroup,root,21.665361295767944,0.02,2.3466532961772855e-08
field:cf_5cd62eaa6e16a8,schema:root,issue date,EHR Schema,field,root,26.55796092854883,0.5096153846153846,3.059119266605648e-08
field:cf_775d9002cb4e7b,schema:root,reason for encounter,EHR Schema,field,root,26.461938146852027,0.425,2.7076850733061802e-08
field:cf_b87e8363f020f7,schema:root,healthcare unit,EHR Schema,field,root,26.815807632087402,0.425,2.1742743408974922e-08
field:cf_8b431261fa7dca,schema:root,State,EHR Schema,field,root,27.751561936005988,0.425,1.2171685540837375e-08
field:cf_16800b2d3f5ef6,schema:root,patient age,EHR Schema,field,root,26.038597418217403,0.49038461538461536,4.061962165020697e-08
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,schema:root,Patient discharge,EHR Schema,canonical_group,root,10.254039488230225,0.02,2.7739004252637325e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,schema:root,Components,EHR Schema,canonical_subgroup,root,11.254039488230225,0.02,1.492204304212127e-05
field:cf_469c691048a0ce,schema:root,date of discharge,EHR Schema,field,root,13.217419183580438,0.4168269230769231,9.781789529040956e-05
field:cf_49533263f29569,schema:root,reason for discharge,EHR Schema,field,root,13.292051815899715,0.39375,8.822412165436272e-05
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,schema:root,Problem/Diagnosis,EHR Schema,canonical_group,root,15.109197565360944,0.02,1.3670313770513878e-06
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,schema:root,structure,EHR Schema,canonical_subgroup,root,19.75251088065968,0.02,7.682595464709494e-08
field:cf_bd9db9ae67063d,schema:root,Problem,EHR Schema,field,root,23.526188134223066,0.425,1.6714206746761797e-07
field:cf_4e7e8ca2916a1e,schema:root,Secondary Diagnosis,EHR Schema,field,root,23.053523156860614,0.425,2.2405609399758117e-07
field:cf_0a229c157b8d2a,schema:root,Associated causes,EHR Schema,field,root,23.31977438990537,0.425,1.8996135859282604e-07
