source,target,edge_type,weight,relation_strength,relative_queriability
schema:root,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,root_to_family,0.3957233148814421,33.0,0.3957233148814421
schema:root,family:openEHR-EHR-COMPOSITION.hospitalisation.v1,root_to_family,0.3667034086892907,15.0,0.3667034086892907
schema:root,family:openEHR-EHR-COMPOSITION.demographic_data.v1,root_to_family,0.2375732764292672,6.0,0.2375732764292672
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,family_to_group,0.1594381769859128,11.0,0.1594381769859128
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,family_to_group,0.11681353214769816,2.0,0.11681353214769816
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,family_to_group,0.12487027333179054,3.0,0.12487027333179054
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,family_to_group,0.14961141401422,8.0,0.14961141401422
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,family_to_group,0.1264596272150353,6.0,0.1264596272150353
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_mass_index,family_to_group,0.11073437851220505,1.0,0.11073437851220505
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_weight,family_to_group,0.10552571568860744,1.0,0.10552571568860744
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Height/Length,family_to_group,0.10654688210453074,1.0,0.10654688210453074
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,group_to_subgroup,0.347777574470187,5.0,0.347777574470187
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_radiotherapy,group_to_subgroup,0.2089356937533385,1.0,0.2089356937533385
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_chemotherapy,group_to_subgroup,0.2288909640623611,3.0,0.2288909640623611
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_transplantation,group_to_subgroup,0.21439576771411348,2.0,0.21439576771411348
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_5cd62eaa6e16a8,subgroup_to_field,0.20597048349560898,1.0,0.20597048349560898
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_775d9002cb4e7b,subgroup_to_field,0.19672043864325708,1.0,0.19672043864325708
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_b87e8363f020f7,subgroup_to_field,0.19672043864325703,1.0,0.19672043864325703
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_8b431261fa7dca,subgroup_to_field,0.19672043864325703,1.0,0.19672043864325703
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_16800b2d3f5ef6,subgroup_to_field,0.2038682005746199,1.0,0.2038682005746199
