node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
schema:root,root,EHR Schema,0,0.0,22.081813114421813,1.0,0.03912104536714464,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,composition_family,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1,0.0,10.283056526806527,0.4656799001749806,0.03130478558086648,0.019726341239645208,0.019726341239645208,0.019726341239645208,0.019726341239645208,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,canonical_group,HCPA,2,0.0,3.314423076923077,0.1500974154499297,0.05462518020679054,0.03442141273425192,0.03442141273425192,0.03442141273425192,0.03442141273425192,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,canonical_subgroup,components / General data,3,0.0,2.275,0.10302596024210434,0.11329743550944692,0.07139304208497906,0.07139304208497906,0.07139304208497906,0.07139304208497906,,,,,,,,,,,,,,,,
field:cf_5cd62eaa6e16a8,field,issue date,4,0.5096153846153846,0.5096153846153846,0.023078511804021682,0.6843556996788733,0.4312386688063669,0.4312386688063669,0.4312386688063669,0.4312386688063669,cf_5cd62eaa6e16a8,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,1.0,0.38461538461538464,0.38461538461538464,0.5,0.5096153846153846,6.0,6.0,4.0
field:cf_775d9002cb4e7b,field,reason for encounter,4,0.425,0.425,0.019246607957316197,0.6980558320844195,0.43987164558118,0.43987164558118,0.43987164558118,0.43987164558118,cf_775d9002cb4e7b,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_b87e8363f020f7,field,healthcare unit,4,0.425,0.425,0.019246607957316197,0.650094812429997,0.4096495749824048,0.4096495749824048,0.4096495749824048,0.4096495749824048,cf_b87e8363f020f7,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_8b431261fa7dca,field,State,4,0.425,0.425,0.019246607957316197,0.5501426329595017,0.346665888517344,0.346665888517344,0.346665888517344,0.346665888517344,cf_8b431261fa7dca,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_16800b2d3f5ef6,field,patient age,4,0.49038461538461536,0.49038461538461536,0.022207624566134072,0.7656294677875716,0.4824523747556539,0.4824523747556539,0.4824523747556539,0.4824523747556539,cf_16800b2d3f5ef6,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,1.0,0.36538461538461536,0.36538461538461536,0.5,0.49038461538461536,6.0,6.0,4.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,canonical_group,Patient discharge,2,0.0,0.8105769230769231,0.036707897076962794,0.13602857193277298,0.08571679947642155,0.08571679947642155,0.08571679947642155,0.08571679947642155,,,,,,,,,,,,,,,,
