method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
aqf_full,demographic,12,0.8333333333333334,0.8888888888888888,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,diagnosis_oriented,11,0.36363636363636365,0.4848484848484848,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,general_clinical,5,1.0,1.0,0,SUPPORTED
aqf_full,hospitalisation,11,0.8181818181818182,0.8484848484848485,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,temporal,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,demographic,12,0.8333333333333334,0.8888888888888888,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,diagnosis_oriented,11,0.36363636363636365,0.4848484848484848,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,general_clinical,5,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,hospitalisation,11,0.8181818181818182,0.8484848484848485,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,temporal,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,demographic,12,0.8333333333333334,0.8888888888888888,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,diagnosis_oriented,11,0.36363636363636365,0.4848484848484848,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,general_clinical,5,1.0,1.0,0,SUPPORTED
flattened_topk,hospitalisation,11,0.8181818181818182,0.8484848484848485,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,temporal,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,demographic,12,1.0,1.0,0,SUPPORTED
frequency_only,diagnosis_oriented,11,0.36363636363636365,0.4848484848484848,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,general_clinical,5,1.0,1.0,0,SUPPORTED
frequency_only,hospitalisation,11,0.5454545454545454,0.7383838383838385,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,temporal,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,demographic,12,0.8333333333333334,0.8888888888888888,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,diagnosis_oriented,11,0.36363636363636365,0.4848484848484848,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,general_clinical,5,1.0,1.0,0,SUPPORTED
