method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,47,9,15,6,1.0,53.0,248,248,0,227.0,88.61029769096045,54,0.9074074074074074,0.9074074074074074,False
aqf_topk_no_threshold,47,9,15,6,1.0,53.0,248,248,0,227.0,88.61029769096045,54,0.9074074074074074,0.9074074074074074,False
frequency_only,47,9,15,6,1.0,53.0,248,248,0,227.0,88.61029769096045,54,0.9074074074074074,0.9074074074074074,False
flattened_topk,47,1,1,6,1.0,53.0,248,248,0,227.0,88.61029769096045,54,0.9074074074074074,0.9074074074074074,False
no_operator_awareness,47,9,15,6,1.0,53.0,517,248,269,564.0,88.61029769096045,54,0.9074074074074074,0.9074074074074074,False
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,90.66366871579507,54,0.9814814814814815,0.9814814814814815,True
random_topk_1,47,10,15,6,1.0,53.0,245,245,0,224.5,78.87061463817938,54,0.7407407407407407,0.8298941798941799,False
random_topk_2,47,11,19,6,1.0,53.0,252,252,0,233.0,79.93110338216428,54,0.8148148148148148,0.8966490299823633,False
random_topk_3,47,11,19,6,1.0,53.0,247,247,0,225.75,78.31854637999496,54,0.8703703703703703,0.9181657848324515,False
random_topk_4,47,10,17,6,1.0,53.0,248,248,0,227.5,84.3615779562695,54,0.8333333333333334,0.8892416225749559,False
random_topk_5,47,10,17,6,1.0,53.0,247,247,0,226.25,76.59241231597393,54,0.7962962962962963,0.8757054673721341,False
random_topk_6,47,11,19,6,1.0,53.0,251,251,0,232.5,81.81445029032365,54,0.7407407407407407,0.8472663139329806,False
random_topk_7,47,11,18,6,1.0,53.0,249,249,0,230.0,78.15729218817606,54,0.7962962962962963,0.8838918283362728,False
random_topk_8,47,11,18,6,1.0,53.0,243,243,0,221.75,79.47666735125243,54,0.7222222222222222,0.8509553203997648,False
random_topk_9,47,10,15,6,1.0,53.0,249,249,0,228.5,82.81466748535775,54,0.8333333333333334,0.891358024691358,False
random_topk_10,47,9,16,6,1.0,53.0,247,247,0,226.75,79.48150470178656,54,0.7777777777777778,0.8671369782480893,False
random_topk_11,47,10,17,6,1.0,53.0,249,249,0,229.0,83.39585821483828,54,0.8703703703703703,0.9218694885361551,False
random_topk_12,47,10,17,6,1.0,53.0,250,250,0,230.75,80.65793383566945,54,0.8518518518518519,0.8977954144620811,False
random_topk_13,47,10,18,6,1.0,53.0,245,245,0,223.5,84.68747980025363,54,0.8888888888888888,0.9429747207524984,False
random_topk_14,47,11,19,6,1.0,53.0,249,249,0,229.5,77.16521495602044,54,0.8333333333333334,0.8818342151675486,False
random_topk_15,47,11,18,6,1.0,53.0,247,247,0,226.25,77.61493133591632,54,0.8888888888888888,0.932392710170488,False
random_topk_16,47,8,16,6,1.0,53.0,247,247,0,226.25,79.07253546350151,54,0.7777777777777778,0.8840094062316284,False
random_topk_17,47,11,18,6,1.0,53.0,243,243,0,223.25,74.4971373920072,54,0.9629629629629629,0.9722222222222222,True
random_topk_18,47,10,17,6,1.0,53.0,248,248,0,228.0,79.98290926448163,54,0.7777777777777778,0.887389770723104,False
random_topk_19,47,10,17,6,1.0,53.0,251,251,0,231.5,82.72675689804406,54,0.7962962962962963,0.8785420340975897,False
random_topk_20,47,10,17,6,1.0,53.0,243,243,0,223.25,79.72550169411628,54,0.8148148148148148,0.900734861845973,False
random_topk_21,47,11,18,6,1.0,53.0,249,249,0,229.25,79.98261824701422,54,0.7222222222222222,0.8414315108759554,False
random_topk_22,47,11,19,6,1.0,53.0,246,246,0,225.75,81.53014866677127,54,0.6666666666666666,0.8220164609053497,False
random_topk_23,47,11,18,6,1.0,53.0,253,253,0,233.5,79.07949750633749,54,0.8333333333333334,0.8818930041152263,False
random_topk_24,47,9,17,6,1.0,53.0,246,246,0,225.25,84.89319686064441,54,0.8518518518518519,0.9166666666666666,False
random_topk_25,47,11,17,6,1.0,53.0,248,248,0,227.5,84.20648282285609,54,0.7222222222222222,0.8288800705467373,False
random_topk_26,47,11,18,6,1.0,53.0,252,252,0,232.5,80.85672262170603,54,0.6111111111111112,0.7780864197530865,False
random_topk_27,47,10,18,6,1.0,53.0,246,246,0,225.25,78.84503727008111,54,0.7777777777777778,0.8654908877131099,False
random_topk_28,47,11,19,6,1.0,53.0,245,245,0,225.0,76.49876675067866,54,0.7777777777777778,0.8666519694297472,False
random_topk_29,47,11,18,6,1.0,53.0,248,248,0,228.0,82.6007203789162,54,0.8518518518518519,0.9213403880070546,False
random_topk_30,47,10,17,6,1.0,53.0,252,252,0,233.0,80.70093081691424,54,0.9074074074074074,0.9351851851851852,False
