source,target,edge_type,weight,relation_strength,relative_queriability
schema:root,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,root_to_family,0.1658474469195768,33.0,0.1658474469195768
schema:root,family:openEHR-EHR-COMPOSITION.hospitalisation.v1,root_to_family,0.41358206516775753,15.0,0.41358206516775753
schema:root,family:openEHR-EHR-COMPOSITION.demographic_data.v1,root_to_family,0.4205704879126657,6.0,0.4205704879126657
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,family_to_group,0.07610184710407852,11.0,0.07610184710407852
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,family_to_group,0.23584763228431238,2.0,0.23584763228431238
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,family_to_group,0.2172544265010749,3.0,0.2172544265010749
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,family_to_group,0.12781488271591732,8.0,0.12781488271591732
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,family_to_group,0.10616542965732532,6.0,0.10616542965732532
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_mass_index,family_to_group,0.23681578173729162,1.0,0.23681578173729162
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,group_to_subgroup,0.47643276904442056,5.0,0.47643276904442056
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_radiotherapy,group_to_subgroup,0.5235672309555794,1.0,0.5235672309555794
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_5cd62eaa6e16a8,subgroup_to_field,0.20437540819375077,1.0,0.20437540819375077
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_775d9002cb4e7b,subgroup_to_field,0.20853039179818175,1.0,0.20853039179818175
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_b87e8363f020f7,subgroup_to_field,0.19414324956971293,1.0,0.19414324956971293
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_8b431261fa7dca,subgroup_to_field,0.16417758781775696,1.0,0.16417758781775696
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_16800b2d3f5ef6,subgroup_to_field,0.22877336262059764,1.0,0.22877336262059764
field:cf_5cd62eaa6e16a8,field:cf_16800b2d3f5ef6,sibling_context,0.5,0.5,0.5
field:cf_775d9002cb4e7b,field:cf_16800b2d3f5ef6,sibling_context,0.4576923076923077,0.5,0.4576923076923077
field:cf_775d9002cb4e7b,field:cf_b87e8363f020f7,sibling_context,0.425,0.5,0.425
field:cf_b87e8363f020f7,field:cf_775d9002cb4e7b,sibling_context,0.425,0.5,0.425
field:cf_b87e8363f020f7,field:cf_8b431261fa7dca,sibling_context,0.425,0.5,0.425
field:cf_8b431261fa7dca,field:cf_b87e8363f020f7,sibling_context,0.425,0.5,0.425
field:cf_16800b2d3f5ef6,field:cf_5cd62eaa6e16a8,sibling_context,0.5,0.5,0.5
field:cf_16800b2d3f5ef6,field:cf_775d9002cb4e7b,sibling_context,0.4576923076923077,0.5,0.4576923076923077
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,group_to_subgroup,1.0,2.0,1.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,field:cf_469c691048a0ce,subgroup_to_field,0.5094108777682307,1.0,0.5094108777682307
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,field:cf_49533263f29569,subgroup_to_field,0.4905891222317692,1.0,0.4905891222317692
field:cf_469c691048a0ce,field:cf_49533263f29569,sibling_context,0.40528846153846154,0.5,0.40528846153846154
field:cf_469c691048a0ce,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,cartesian,0.055820286240360686,,0.055820286240360686
field:cf_469c691048a0ce,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,cartesian,0.10376589539609599,,0.10376589539609599
field:cf_49533263f29569,field:cf_469c691048a0ce,sibling_context,0.40528846153846154,0.5,0.40528846153846154
field:cf_49533263f29569,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,cartesian,0.05146880034776871,,0.05146880034776871
field:cf_49533263f29569,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,cartesian,0.09567679624665802,,0.09567679624665802
