source,target,source_label,target_label,source_type,target_type,distance,source_base_queriability,pairwise_influence
schema:root,schema:root,EHR Schema,EHR Schema,root,root,0.0,0.02,0.02
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,schema:root,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,EHR Schema,composition_family,root,2.5270181523158373,0.02,0.003339554676813455
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,schema:root,HCPA,EHR Schema,canonical_group,root,8.799041697143217,0.02,6.837027464745125e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,schema:root,components / General data,EHR Schema,canonical_subgroup,root,11.674442739097762,0.02,1.1498188520226286e-05
field:cf_5cd62eaa6e16a8,schema:root,issue date,EHR Schema,field,root,16.52950732421983,0.5096153846153846,1.5342060391199355e-05
field:cf_775d9002cb4e7b,schema:root,reason for encounter,EHR Schema,field,root,16.757798626756447,0.425,1.1106054053037611e-05
field:cf_b87e8363f020f7,schema:root,healthcare unit,EHR Schema,field,root,16.757798626756447,0.425,1.1106054053037611e-05
field:cf_8b431261fa7dca,schema:root,State,EHR Schema,field,root,16.757798626756447,0.425,1.1106054053037611e-05
field:cf_16800b2d3f5ef6,schema:root,patient age,EHR Schema,field,root,16.579572608206405,0.49038461538461536,1.4311899798533223e-05
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,schema:root,Patient discharge,EHR Schema,canonical_group,root,11.087670172799282,0.02,1.654342089999469e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,schema:root,Components,EHR Schema,canonical_subgroup,root,12.087670172799282,0.02,8.899441251939625e-06
field:cf_469c691048a0ce,schema:root,date of discharge,EHR Schema,field,root,14.068339201116874,0.4168269230769231,5.771615562702934e-05
field:cf_49533263f29569,schema:root,reason for discharge,EHR Schema,field,root,14.107382197064565,0.39375,5.3216876710683116e-05
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,schema:root,Bariatric surgery evaluation,EHR Schema,canonical_group,root,10.535329284485126,0.02,2.3299685085607156e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,schema:root,Components,EHR Schema,canonical_subgroup,root,11.535329284485126,0.02,1.2533935989509975e-05
field:cf_505d09ec39545c,schema:root,duration of follow-up (months),EHR Schema,field,root,14.28857663499414,0.5584935897435898,6.746183135930418e-05
field:cf_ac2de786b38da7,schema:root,Baros score,EHR Schema,field,root,14.676069636620465,0.37259615384615385,3.539492012042907e-05
field:cf_8f20b6e7578a41,schema:root,Baros table,EHR Schema,field,root,14.676069636620465,0.37259615384615385,3.539492012042907e-05
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,schema:root,Problem/Diagnosis,EHR Schema,canonical_group,root,9.211000163908574,0.02,5.2959310887366624e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,schema:root,structure,EHR Schema,canonical_subgroup,root,12.422389097766068,0.02,7.231617708628054e-06
field:cf_bd9db9ae67063d,schema:root,Problem,EHR Schema,field,root,16.29734635804448,0.425,1.477550550762903e-05
field:cf_4e7e8ca2916a1e,schema:root,Secondary Diagnosis,EHR Schema,field,root,16.29734635804448,0.425,1.477550550762903e-05
field:cf_0a229c157b8d2a,schema:root,Associated causes,EHR Schema,field,root,16.29734635804448,0.425,1.477550550762903e-05
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,schema:root,Procedure undertaken,EHR Schema,canonical_group,root,10.434680241968953,0.02,2.4799965231174086e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken::Procedure_list,schema:root,Procedure list,EHR Schema,canonical_subgroup,root,11.434680241968953,0.02,1.3341003348651422e-05
field:cf_0b6364bb149692,schema:root,Procedure,EHR Schema,field,root,16.735786686712295,0.39375,1.0430819046341791e-05
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_mass_index,schema:root,Body mass index,EHR Schema,canonical_group,root,11.557637309940684,0.02,1.236177276159935e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_mass_index::Single,schema:root,Single,EHR Schema,canonical_subgroup,root,12.557637309940684,0.02,6.6499468959117285e-06
field:cf_c75844f7868470,schema:root,Body Mass Index,EHR Schema,field,root,13.557637309940684,0.43850524475524477,8.333536340314476e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_radiotherapy,schema:root,components / radiotherapy,EHR Schema,canonical_subgroup,root,13.585203324368873,0.02,3.51668203052193e-06
