method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,34,9,11,6,1.0,40.0,183,183,0,168.25,77.65663430273275
aqf_topk_no_threshold,34,9,11,6,1.0,40.0,183,183,0,168.25,77.65663430273275
frequency_only,34,9,11,6,1.0,40.0,183,183,0,168.25,77.65663430273275
flattened_topk,34,1,1,6,1.0,40.0,183,183,0,168.25,77.65663430273275
no_operator_awareness,34,9,11,6,1.0,40.0,374,183,191,408.0,77.65663430273275
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,90.66366871579507
random_topk_1,34,9,14,6,1.0,40.0,185,185,0,171.75,54.647768097193065
random_topk_2,34,8,16,6,1.0,40.0,187,187,0,174.25,55.77914591242004
random_topk_3,34,9,16,6,1.0,40.0,172,172,0,155.25,55.47802789063698
random_topk_4,34,9,15,6,1.0,40.0,174,174,0,158.0,60.1935746024591
random_topk_5,34,10,15,6,1.0,40.0,181,181,0,167.75,52.04957137901843
random_topk_6,34,10,17,6,1.0,40.0,184,184,0,170.5,62.87564633945376
random_topk_7,34,8,15,6,1.0,40.0,179,179,0,165.5,56.012643612926524
random_topk_8,34,9,15,6,1.0,40.0,182,182,0,168.0,59.61738655554167
random_topk_9,34,9,13,6,1.0,40.0,179,179,0,164.5,59.251493377343344
random_topk_10,34,9,14,6,1.0,40.0,181,181,0,166.5,58.92969988350064
