method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,39,9,13,6,1.0,45.0,209,209,0,191.75,82.94484545034902,54,0.7777777777777778,0.8191358024691359,True
aqf_topk_no_threshold,39,9,13,6,1.0,45.0,209,209,0,191.75,82.94484545034902,54,0.7777777777777778,0.8191358024691359,True
frequency_only,39,9,13,6,1.0,45.0,206,206,0,188.25,82.92877863977317,54,0.7777777777777778,0.8385361552028218,True
flattened_topk,39,1,1,6,1.0,45.0,209,209,0,191.75,82.94484545034902,54,0.7777777777777778,0.8191358024691359,True
no_operator_awareness,39,9,13,6,1.0,45.0,429,209,220,468.0,82.94484545034902,54,0.7777777777777778,0.8191358024691359,True
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,90.66366871579507,54,0.9814814814814815,0.9814814814814815,True
random_topk_1,39,10,15,6,1.0,45.0,207,207,0,190.75,63.52201584438416,54,0.5740740740740741,0.7318048206937097,False
random_topk_2,39,10,18,6,1.0,45.0,212,212,0,197.0,63.80342792082413,54,0.48148148148148145,0.6934156378600823,False
random_topk_3,39,10,18,6,1.0,45.0,202,202,0,184.25,62.06115458423556,54,0.5185185185185185,0.72554379776602,False
random_topk_4,39,10,16,6,1.0,45.0,200,200,0,181.0,69.75352560661364,54,0.4444444444444444,0.659185773074662,False
random_topk_5,39,10,16,6,1.0,45.0,209,209,0,193.0,60.94685276334707,54,0.5370370370370371,0.6524250440917108,False
random_topk_6,39,10,18,6,1.0,45.0,210,210,0,194.5,72.62379484188992,54,0.5740740740740741,0.7150793650793651,False
random_topk_7,39,8,15,6,1.0,45.0,205,205,0,189.0,68.09525053250296,54,0.5555555555555556,0.7588477366255143,False
random_topk_8,39,10,16,6,1.0,45.0,204,204,0,187.0,67.6131213208591,54,0.5555555555555556,0.7460758377425044,False
random_topk_9,39,9,13,6,1.0,45.0,207,207,0,190.25,68.90507221999103,54,0.7407407407407407,0.8375073486184598,False
random_topk_10,39,9,15,6,1.0,45.0,205,205,0,188.25,66.50508980366357,54,0.6666666666666666,0.7881246325690769,False
