method,precision_at_10,precision_at_20,recall_at_20
aqf_full,0.7,0.8,0.358974358974359
aqf_topk_no_threshold,0.7,0.8,0.358974358974359
frequency_only,0.7,0.8,0.358974358974359
flattened_topk,0.7,0.8,0.358974358974359
no_operator_awareness,0.7,0.8,0.358974358974359
no_pruning,0.7,0.8,0.358974358974359
random_topk_1,0.8,0.85,0.41025641025641024
random_topk_2,0.8,0.85,0.358974358974359
random_topk_3,0.9,0.9,0.41025641025641024
random_topk_4,0.8,0.8,0.358974358974359
random_topk_5,0.8,0.8,0.358974358974359
random_topk_6,0.7,0.8,0.3333333333333333
random_topk_7,0.7,0.75,0.3333333333333333
random_topk_8,0.7,0.8,0.3333333333333333
random_topk_9,0.7,0.75,0.358974358974359
random_topk_10,0.7,0.75,0.38461538461538464
