comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.6481481481481481,0.9814814814814815,-0.33333333333333337,-33.9622641509434
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.7080246913580247,0.9814814814814815,-0.2734567901234568,-27.861635220125784
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,29.0,54.0,-25.0,-46.2962962962963
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,165.0,285.0,-120.0,-42.10526315789473
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,35.0,60.0,-25.0,-41.66666666666667
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,153.25,262.25,-109.0,-41.56339370829361
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.6481481481481481,0.6481481481481481,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.7080246913580247,0.7080246913580247,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,165.0,319.0,-154.0,-48.275862068965516
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,153.25,348.0,-194.75,-55.962643678160916
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,154.0,-154.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.6481481481481481,0.6296296296296297,0.01851851851851849,2.9411764705882306
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.7080246913580247,0.7102880658436214,-0.0022633744855966587,-0.3186558516801785
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,165.0,153.0,12.0,7.8431372549019605
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,153.25,139.25,14.0,10.053859964093357
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.6481481481481481,0.6481481481481481,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.7080246913580247,0.7080246913580247,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,29.0,29.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,165.0,165.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,35.0,35.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,153.25,153.25,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
