method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,29,7,9,6,1.0,35.0,165,165,0,153.25,58.43409427667627
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,165,165,0,153.25,58.43409427667627
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,57.719505494511296
flattened_topk,29,1,1,6,1.0,35.0,165,165,0,153.25,58.43409427667627
no_operator_awareness,29,7,9,6,1.0,35.0,319,165,154,348.0,58.43409427667627
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,78.17365861681517
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,39.48946409485744
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,40.12907064206348
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,40.413792692367785
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,43.148407235827854
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,37.54463312821747
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,45.909262892382145
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,40.75343082727844
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,44.55731000166802
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,43.360056676960625
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,42.37510619110776
