method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,24,9,11,6,1.0,30.0,142,142,0,135.25,10.31803106313976
aqf_topk_no_threshold,29,9,14,6,1.0,35.0,172,172,0,163.75,10.778695398804095
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,8.918215600824297
flattened_topk,24,1,1,6,1.0,30.0,142,142,0,135.25,10.31803106313976
no_operator_awareness,24,9,11,6,1.0,30.0,264,142,122,288.0,10.31803106313976
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,11.752393922502618
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,6.862902858011553
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,5.929545454545455
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,5.42016317016317
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,5.811912182020878
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,5.613986013986014
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,7.231468531468532
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,6.999854312354312
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,5.957750582750583
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,5.81714257964258
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,4.904132461741157
