method,rank,field_id,label,canonical_path,dv_type,operator_count,operators_exposed,valid_operator_count,invalid_or_unwanted_operator_count,invalid_or_unwanted_operators,weighted_operator_burden,score
aqf_full,1,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,DV_DATE,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,1.3666495719694534
aqf_full,2,cf_49398dcbba5447,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,1.337664143901145
aqf_full,3,cf_2db2fd852fb674,Problem,Problem/Diagnosis / structure / Problem,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,1.2205664397484135
aqf_full,4,cf_22f759c45e42f4,Admit date/time,Patient admission / Tree / Admit date/time,DV_DATE_TIME,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,1.215331019597912
aqf_full,5,cf_ba8421601b1980,Issue date,Authorization for hospital admission / Components / Issue date,DV_DATE,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,1.210565394597912
aqf_full,6,cf_79ed78f34fef6f,date of discharge,Patient discharge / Components / date of discharge,DV_DATE_TIME,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,1.1763366285722707
aqf_full,7,cf_9449e602105d68,Universal ID,Patient admission / Tree / Assigned patient location / Facility / Universal ID,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.9748101862645786
aqf_full,8,cf_18704e514938d4,Procedure,Procedure undertaken / Procedure list / Procedure,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.9738256109440657
aqf_full,9,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,DV_DATE,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,0.778669990186386
aqf_full,10,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,DV_COUNT,6,equals;>;<;between;is_known;is_unknown,6,0,,6.0,0.7603647017248476
