method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,29,7,9,6,1.0,35.0,165,165,0,153.25,126.57019783706225
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,165,165,0,153.25,126.57019783706225
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,126.00690504817844
flattened_topk,29,1,1,6,1.0,35.0,165,165,0,153.25,126.57019783706225
no_operator_awareness,29,7,9,6,1.0,35.0,319,165,154,348.0,126.57019783706225
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,169.57494350908755
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,83.86122360314864
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,86.89815122042639
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,88.53653170876585
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,94.38796343319271
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,81.01194186669078
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,99.40356646645579
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,87.03853396223458
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,97.60784664148154
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,95.39283845700704
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,93.95836363863746
