method,field_count,form_group_count,subgroup_count,max_depth,avg_depth,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,ambiguous_label_resolution_rate
aqf_full,29,7,9,6,3.5517241379310347,1.0,1.0,5,0.8275862068965517
aqf_topk_no_threshold,29,7,9,6,3.5517241379310347,1.0,1.0,5,0.8275862068965517
frequency_only,29,7,9,6,3.4827586206896552,1.0,1.0,5,0.8275862068965517
flattened_topk,29,1,1,6,3.5517241379310347,0.0,1.0,5,0.8275862068965517
no_operator_awareness,29,7,9,6,3.5517241379310347,1.0,1.0,5,0.8275862068965517
no_pruning,54,11,19,6,3.7037037037037037,1.0,1.0,5,0.9074074074074074
random_topk_1,29,8,13,6,3.8620689655172415,1.0,1.0,2,0.9310344827586207
random_topk_2,29,8,15,6,3.7241379310344827,1.0,1.0,2,0.9310344827586207
random_topk_3,29,9,15,6,3.6206896551724137,1.0,1.0,0,1.0
random_topk_4,29,9,15,6,3.689655172413793,1.0,1.0,1,0.9655172413793104
random_topk_5,29,10,15,6,3.7241379310344827,1.0,1.0,2,0.9310344827586207
random_topk_6,29,10,16,6,3.7586206896551726,1.0,1.0,3,0.896551724137931
random_topk_7,29,7,14,6,3.793103448275862,1.0,1.0,1,0.9655172413793104
random_topk_8,29,9,14,6,3.6206896551724137,1.0,1.0,4,0.8620689655172413
random_topk_9,29,9,13,6,3.689655172413793,1.0,1.0,2,0.9310344827586207
random_topk_10,29,9,14,6,3.7241379310344827,1.0,1.0,1,0.9655172413793104
