method,field_count,form_group_count,subgroup_count,max_depth,avg_depth,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,ambiguous_label_resolution_rate
aqf_full,35,9,11,6,3.4571428571428573,1.0,1.0,5,0.8571428571428572
aqf_topk_no_threshold,35,9,11,6,3.4571428571428573,1.0,1.0,5,0.8571428571428572
frequency_only,35,9,11,6,3.4571428571428573,1.0,1.0,5,0.8571428571428572
flattened_topk,35,1,1,6,3.4571428571428573,0.0,1.0,5,0.8571428571428572
no_operator_awareness,35,9,11,6,3.4571428571428573,1.0,1.0,5,0.8571428571428572
no_pruning,54,11,19,6,3.7037037037037037,1.0,1.0,5,0.9074074074074074
random_topk_1,35,10,15,6,3.8285714285714287,1.0,1.0,2,0.9428571428571428
random_topk_2,35,9,17,6,3.7714285714285714,1.0,1.0,3,0.9142857142857143
random_topk_3,35,9,16,6,3.6285714285714286,1.0,1.0,0,1.0
random_topk_4,35,10,16,6,3.6,1.0,1.0,2,0.9428571428571428
random_topk_5,35,10,15,6,3.742857142857143,1.0,1.0,3,0.9142857142857143
random_topk_6,35,10,17,6,3.6857142857142855,1.0,1.0,3,0.9142857142857143
random_topk_7,35,8,15,6,3.742857142857143,1.0,1.0,1,0.9714285714285714
random_topk_8,35,9,15,6,3.6,1.0,1.0,4,0.8857142857142857
random_topk_9,35,9,13,6,3.7714285714285714,1.0,1.0,3,0.9142857142857143
random_topk_10,35,9,14,6,3.6857142857142855,1.0,1.0,1,0.9714285714285714
