method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage
aqf_full,35,9,11,6,0.0,35.0,187,187,0,171.5,78.90598367791831,54,0.7407407407407407,0.7820987654320988
aqf_topk_no_threshold,35,9,11,6,0.0,35.0,187,187,0,171.5,78.90598367791831,54,0.7407407407407407,0.7820987654320988
frequency_only,35,9,11,6,0.0,35.0,187,187,0,171.5,78.90598367791831,54,0.7407407407407407,0.7820987654320988
flattened_topk,35,1,1,6,0.0,35.0,187,187,0,171.5,78.90598367791831,54,0.7407407407407407,0.7820987654320988
no_operator_awareness,35,9,11,6,0.0,35.0,385,187,198,420.0,78.90598367791831,54,0.7407407407407407,0.7820987654320988
no_pruning,54,11,19,6,0.0,54.0,285,285,0,262.25,90.66366871579507,54,0.9814814814814815,0.9814814814814815
random_topk_1,35,10,15,6,0.0,35.0,191,191,0,177.75,54.87822937669157,54,0.46296296296296297,0.6371546149323927
random_topk_2,35,9,17,6,0.0,35.0,193,193,0,180.25,58.49863955207627,54,0.3888888888888889,0.6323633156966489
random_topk_3,35,9,16,6,0.0,35.0,178,178,0,161.25,56.141822252992036,54,0.5185185185185185,0.717607289829512
random_topk_4,35,10,16,6,0.0,35.0,178,178,0,161.25,61.44292397764466,54,0.35185185185185186,0.6014256319811876
random_topk_5,35,10,15,6,0.0,35.0,187,187,0,173.25,52.969218950076886,54,0.4444444444444444,0.5513521457965902
random_topk_6,35,10,17,6,0.0,35.0,186,186,0,171.5,65.01810271949459,54,0.5370370370370371,0.6873015873015873
random_topk_7,35,8,15,6,0.0,35.0,185,185,0,171.0,58.218074752582744,54,0.5370370370370371,0.7248971193415638
random_topk_8,35,9,15,6,0.0,35.0,184,184,0,169.0,60.18976946726803,54,0.5185185185185185,0.705599647266314
random_topk_9,35,9,13,6,0.0,35.0,185,185,0,170.0,61.45692451699957,54,0.6296296296296297,0.759318048206937
random_topk_10,35,9,14,6,0.0,35.0,187,187,0,172.0,61.699198748909375,54,0.6296296296296297,0.7541740152851264
