method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,23,7,9,6,2.0,35.0,138,138,0,130.5,55.233823664889265
aqf_topk_no_threshold,23,7,9,6,2.0,35.0,138,138,0,130.5,55.233823664889265
frequency_only,23,6,7,6,2.0,35.0,123,123,0,112.0,53.07475609789893
flattened_topk,23,1,1,6,2.0,35.0,138,138,0,130.5,55.233823664889265
no_operator_awareness,23,7,9,6,2.0,35.0,253,138,115,276.0,55.233823664889265
no_pruning,54,11,19,6,2.0,66.0,285,285,0,262.25,90.66366871579507
random_topk_1,23,8,12,6,2.0,35.0,119,119,0,108.75,35.624028080684646
random_topk_2,23,8,14,6,2.0,35.0,127,127,0,118.0,36.73664099033573
random_topk_3,23,9,13,6,2.0,35.0,111,111,0,99.0,35.900243032868
random_topk_4,23,9,15,6,2.0,35.0,118,118,0,107.75,37.764612883451264
random_topk_5,23,10,14,6,2.0,35.0,115,115,0,105.25,32.60404054610413
random_topk_6,23,9,14,6,2.0,35.0,126,126,0,116.5,42.05658365582155
random_topk_7,23,6,12,6,2.0,35.0,116,116,0,105.0,35.62485573654444
random_topk_8,23,9,13,6,2.0,35.0,116,116,0,105.5,40.11500137094795
random_topk_9,23,9,12,6,2.0,35.0,116,116,0,105.5,38.60086532589165
random_topk_10,23,8,13,6,2.0,35.0,121,121,0,110.25,39.41023268637543
