method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,23,7,9,6,2.0,35.0,138,138,0,130.5,55.233823664889265,54,0.3888888888888889,0.5449147560258671,False
aqf_topk_no_threshold,23,7,9,6,2.0,35.0,138,138,0,130.5,55.233823664889265,54,0.3888888888888889,0.5449147560258671,False
frequency_only,23,6,7,6,2.0,35.0,123,123,0,112.0,53.07475609789893,54,0.5185185185185185,0.5796296296296296,True
flattened_topk,23,1,1,6,2.0,35.0,138,138,0,130.5,55.233823664889265,54,0.3888888888888889,0.5449147560258671,False
no_operator_awareness,23,7,9,6,2.0,35.0,253,138,115,276.0,55.233823664889265,54,0.3888888888888889,0.5449147560258671,False
no_pruning,54,11,19,6,2.0,66.0,285,285,0,262.25,90.66366871579507,54,0.9814814814814815,0.9814814814814815,True
random_topk_1,23,8,12,6,2.0,35.0,119,119,0,108.75,35.624028080684646,54,0.37037037037037035,0.5629923574368019,False
random_topk_2,23,8,14,6,2.0,35.0,127,127,0,118.0,36.73664099033573,54,0.2962962962962963,0.4247501469723692,False
random_topk_3,23,9,13,6,2.0,35.0,111,111,0,99.0,35.900243032868,54,0.3148148148148148,0.46246325690770135,False
random_topk_4,23,9,15,6,2.0,35.0,118,118,0,107.75,37.764612883451264,54,0.2037037037037037,0.3893004115226337,False
random_topk_5,23,10,14,6,2.0,35.0,115,115,0,105.25,32.60404054610413,54,0.2777777777777778,0.42411816578483247,False
random_topk_6,23,9,14,6,2.0,35.0,126,126,0,116.5,42.05658365582155,54,0.2777777777777778,0.4511169900058789,False
random_topk_7,23,6,12,6,2.0,35.0,116,116,0,105.0,35.62485573654444,54,0.24074074074074073,0.4761757789535567,False
random_topk_8,23,9,13,6,2.0,35.0,116,116,0,105.5,40.11500137094795,54,0.25925925925925924,0.4695032333921223,False
random_topk_9,23,9,12,6,2.0,35.0,116,116,0,105.5,38.60086532589165,54,0.42592592592592593,0.6131834215167549,False
random_topk_10,23,8,13,6,2.0,35.0,121,121,0,110.25,39.41023268637543,54,0.2777777777777778,0.4873015873015873,False
