method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,29,7,9,6,1.0,35.0,165,165,0,153.25,29.0
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,165,165,0,153.25,29.0
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,29.0
flattened_topk,29,1,1,6,1.0,35.0,165,165,0,153.25,29.0
no_operator_awareness,29,7,9,6,1.0,35.0,319,165,154,348.0,29.0
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,38.08653846153846
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,18.48076923076923
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,19.33653846153846
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,20.01923076923077
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,21.326923076923077
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,18.03846153846154
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,22.403846153846153
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,19.307692307692307
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,22.153846153846153
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,21.71153846153846
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,21.423076923076923
random_topk_11,29,10,15,6,1.0,35.0,155,155,0,141.75,20.846153846153847
random_topk_12,29,9,15,6,1.0,35.0,155,155,0,143.5,20.221153846153847
random_topk_13,29,9,15,6,1.0,35.0,150,150,0,136.75,21.01923076923077
random_topk_14,29,10,16,6,1.0,35.0,154,154,0,141.75,20.932692307692307
random_topk_15,29,10,17,6,1.0,35.0,159,159,0,147.5,19.375
random_topk_16,29,7,12,6,1.0,35.0,146,146,0,131.75,21.846153846153847
random_topk_17,29,9,15,6,1.0,35.0,148,148,0,134.5,20.576923076923077
random_topk_18,29,9,15,6,1.0,35.0,154,154,0,141.75,19.08653846153846
random_topk_19,29,9,13,6,1.0,35.0,152,152,0,139.25,22.28846153846154
random_topk_20,29,9,16,6,1.0,35.0,151,151,0,139.0,19.451923076923077
random_topk_21,29,10,16,6,1.0,35.0,148,148,0,135.25,19.89423076923077
random_topk_22,29,10,14,6,1.0,35.0,149,149,0,135.75,21.576923076923077
random_topk_23,29,11,16,6,1.0,35.0,157,157,0,145.0,18.03846153846154
random_topk_24,29,9,14,6,1.0,35.0,150,150,0,136.5,21.375
random_topk_25,29,9,14,6,1.0,35.0,155,155,0,142.5,23.576923076923077
random_topk_26,29,10,15,6,1.0,35.0,154,154,0,142.25,19.682692307692307
random_topk_27,29,9,14,6,1.0,35.0,157,157,0,145.25,20.98076923076923
random_topk_28,29,10,15,6,1.0,35.0,151,151,0,139.0,19.240384615384617
random_topk_29,29,9,13,6,1.0,35.0,156,156,0,143.5,23.10576923076923
random_topk_30,29,10,17,6,1.0,35.0,155,155,0,144.0,19.28846153846154
