source,target,edge_type,weight,relation_strength,relative_queriability
schema:root,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,root_to_family,0.14424986527845568,33.0,0.14424986527845568
schema:root,family:openEHR-EHR-COMPOSITION.hospitalisation.v1,root_to_family,0.4242757877470201,15.0,0.4242757877470201
schema:root,family:openEHR-EHR-COMPOSITION.demographic_data.v1,root_to_family,0.4314743469745242,6.0,0.4314743469745242
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,family_to_group,0.09455593201457074,11.0,0.09455593201457074
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,family_to_group,0.4259456536976557,2.0,0.4259456536976557
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,family_to_group,0.39250897082034686,3.0,0.39250897082034686
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,family_to_group,0.08698944346742676,8.0,0.08698944346742676
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,group_to_subgroup,1.0,5.0,1.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_5cd62eaa6e16a8,subgroup_to_field,0.2043748680038247,1.0,0.2043748680038247
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_775d9002cb4e7b,subgroup_to_field,0.20852895475807345,1.0,0.20852895475807345
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_b87e8363f020f7,subgroup_to_field,0.19414484624813952,1.0,0.19414484624813952
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_8b431261fa7dca,subgroup_to_field,0.16418420023021768,1.0,0.16418420023021768
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_16800b2d3f5ef6,subgroup_to_field,0.22876713075974459,1.0,0.22876713075974459
field:cf_5cd62eaa6e16a8,field:cf_16800b2d3f5ef6,sibling_context,0.5,0.5,0.5
field:cf_775d9002cb4e7b,field:cf_16800b2d3f5ef6,sibling_context,0.4576923076923077,0.5,0.4576923076923077
field:cf_775d9002cb4e7b,field:cf_b87e8363f020f7,sibling_context,0.425,0.5,0.425
field:cf_b87e8363f020f7,field:cf_775d9002cb4e7b,sibling_context,0.425,0.5,0.425
field:cf_b87e8363f020f7,field:cf_8b431261fa7dca,sibling_context,0.425,0.5,0.425
field:cf_8b431261fa7dca,field:cf_b87e8363f020f7,sibling_context,0.425,0.5,0.425
field:cf_16800b2d3f5ef6,field:cf_5cd62eaa6e16a8,sibling_context,0.5,0.5,0.5
field:cf_16800b2d3f5ef6,field:cf_775d9002cb4e7b,sibling_context,0.4576923076923077,0.5,0.4576923076923077
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,group_to_subgroup,1.0,2.0,1.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,field:cf_469c691048a0ce,subgroup_to_field,0.509410703167417,1.0,0.509410703167417
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,field:cf_49533263f29569,subgroup_to_field,0.490589296832583,1.0,0.490589296832583
field:cf_469c691048a0ce,field:cf_49533263f29569,sibling_context,0.40528846153846154,0.5,0.40528846153846154
field:cf_469c691048a0ce,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,cartesian,0.055820286240360686,,0.055820286240360686
field:cf_469c691048a0ce,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,cartesian,0.10376589539609599,,0.10376589539609599
field:cf_49533263f29569,field:cf_469c691048a0ce,sibling_context,0.40528846153846154,0.5,0.40528846153846154
field:cf_49533263f29569,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,cartesian,0.05146880034776871,,0.05146880034776871
field:cf_49533263f29569,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,cartesian,0.09567679624665802,,0.09567679624665802
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,group_to_subgroup,1.0,3.0,1.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,field:cf_505d09ec39545c,subgroup_to_field,0.39069009046403397,1.0,0.39069009046403397
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,field:cf_ac2de786b38da7,subgroup_to_field,0.33795146936595855,1.0,0.33795146936595855
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,field:cf_8f20b6e7578a41,subgroup_to_field,0.27135844017000743,1.0,0.27135844017000743
field:cf_505d09ec39545c,field:cf_ac2de786b38da7,sibling_context,0.4655448717948718,0.5,0.4655448717948718
field:cf_505d09ec39545c,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,cartesian,0.08611734595200111,,0.08611734595200111
field:cf_505d09ec39545c,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,cartesian,0.052161479683013955,,0.052161479683013955
field:cf_ac2de786b38da7,field:cf_505d09ec39545c,sibling_context,0.4655448717948718,0.5,0.4655448717948718
field:cf_ac2de786b38da7,field:cf_8f20b6e7578a41,sibling_context,0.37259615384615385,0.5,0.37259615384615385
field:cf_ac2de786b38da7,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,cartesian,0.05050062968972089,,0.05050062968972089
field:cf_8f20b6e7578a41,field:cf_ac2de786b38da7,sibling_context,0.37259615384615385,0.5,0.37259615384615385
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,group_to_subgroup,1.0,4.0,1.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,field:cf_bd9db9ae67063d,subgroup_to_field,0.26500257910691777,1.0,0.26500257910691777
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,field:cf_4e7e8ca2916a1e,subgroup_to_field,0.3032671773579384,1.0,0.3032671773579384
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,field:cf_0a229c157b8d2a,subgroup_to_field,0.2804646902976675,1.0,0.2804646902976675
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,field:cf_af0c9a7d79fe64,subgroup_to_field,0.1512655532374762,1.0,0.1512655532374762
field:cf_bd9db9ae67063d,field:cf_4e7e8ca2916a1e,sibling_context,0.425,0.5,0.425
field:cf_4e7e8ca2916a1e,field:cf_bd9db9ae67063d,sibling_context,0.425,0.5,0.425
field:cf_4e7e8ca2916a1e,field:cf_0a229c157b8d2a,sibling_context,0.425,0.5,0.425
field:cf_0a229c157b8d2a,field:cf_4e7e8ca2916a1e,sibling_context,0.425,0.5,0.425
field:cf_0a229c157b8d2a,field:cf_af0c9a7d79fe64,sibling_context,0.3283653846153846,0.5,0.3283653846153846
