node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
schema:root,root,EHR Schema,0,0.0,17.694750177358873,1.0,0.05589297377040702,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,composition_family,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1,0.0,5.89599358974359,0.33320581136475974,0.031348515524659344,0.019744529773695483,0.019744529773695483,0.019744529773695483,0.019744529773695483,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,canonical_group,HCPA,2,0.0,2.275,0.12856920709233588,0.030373756157982594,0.019130587932577096,0.019130587932577096,0.019130587932577096,0.019130587932577096,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,canonical_subgroup,components / General data,3,0.0,2.275,0.12856920709233588,0.11170158730595228,0.07035405917695003,0.07035405917695003,0.07035405917695003,0.07035405917695003,,,,,,,,,,,,,,,,
field:cf_5cd62eaa6e16a8,field,issue date,4,0.5096153846153846,0.5096153846153846,0.028800371833870672,0.6841176964800145,0.43088426998198026,0.43088426998198026,0.43088426998198026,0.43088426998198026,cf_5cd62eaa6e16a8,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,1.0,0.38461538461538464,0.38461538461538464,0.5,0.5096153846153846,6.0,6.0,4.0
field:cf_775d9002cb4e7b,field,reason for encounter,4,0.425,0.425,0.024018423302963846,0.698022949552724,0.43964234604108154,0.43964234604108154,0.43964234604108154,0.43964234604108154,cf_775d9002cb4e7b,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_b87e8363f020f7,field,healthcare unit,4,0.425,0.425,0.024018423302963846,0.6498740588605945,0.40931627828539013,0.40931627828539013,0.40931627828539013,0.40931627828539013,cf_b87e8363f020f7,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_8b431261fa7dca,field,State,4,0.425,0.425,0.024018423302963846,0.5495847799535115,0.3461501404245491,0.3461501404245491,0.3461501404245491,0.3461501404245491,cf_8b431261fa7dca,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_16800b2d3f5ef6,field,patient age,4,0.49038461538461536,0.49038461538461536,0.027713565349573668,0.7657675528028716,0.4823105653648181,0.4823105653648181,0.4823105653648181,0.4823105653648181,cf_16800b2d3f5ef6,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,1.0,0.36538461538461536,0.36538461538461536,0.5,0.49038461538461536,6.0,6.0,4.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,canonical_group,Patient discharge,2,0.0,0.8105769230769231,0.045808893313118826,0.13682451377002403,0.0861774677585153,0.0861774677585153,0.0861774677585153,0.0861774677585153,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,canonical_subgroup,Components,3,0.0,0.8105769230769231,0.045808893313118826,0.22857550370045362,0.1439658549318211,0.1439658549318211,0.1439658549318211,0.1439658549318211,,,,,,,,,,,,,,,,
field:cf_469c691048a0ce,field,date of discharge,4,0.4168269230769231,0.4168269230769231,0.02355653054713762,0.5057368993774243,0.318533018240024,0.318533018240024,0.318533018240024,0.318533018240024,cf_469c691048a0ce,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,Components,temporal,DV_DATE_TIME,after;before;between;equals;is_known;is_unknown,1.0,0.3230769230769231,0.3230769230769231,0.375,0.4168269230769231,6.0,6.0,3.0
field:cf_49533263f29569,field,reason for discharge,4,0.39375,0.39375,0.02225236276598121,0.48705123057911237,0.30676404807493063,0.30676404807493063,0.30676404807493063,0.30676404807493063,cf_49533263f29569,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,Components,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,canonical_group,Bariatric surgery evaluation,2,0.0,1.3036858974358974,0.07367642291463457,0.12608380580163692,0.07941254684525645,0.07941254684525645,0.07941254684525645,0.07941254684525645,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,canonical_subgroup,Components,3,0.0,1.3036858974358974,0.07367642291463457,0.20886201270261787,0.13154952186354335,0.13154952186354335,0.13154952186354335,0.13154952186354335,,,,,,,,,,,,,,,,
field:cf_505d09ec39545c,field,duration of follow-up (months),4,0.5584935897435898,0.5584935897435898,0.03156267164812557,0.6750657853320999,0.4251830198214023,0.4251830198214023,0.4251830198214023,0.4251830198214023,cf_505d09ec39545c,Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.5576923076923077,0.8333333333333334,0.46474358974358976,0.375,0.5584935897435898,6.0,6.0,3.0
field:cf_ac2de786b38da7,field,Baros score,4,0.37259615384615385,0.37259615384615385,0.021056875633254504,0.5839397508155377,0.36778825418231653,0.36778825418231653,0.36778825418231653,0.36778825418231653,cf_ac2de786b38da7,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,text,DV_TEXT,contains;equals;is_known;is_unknown,0.5576923076923077,0.5,0.27884615384615385,0.375,0.37259615384615385,4.0,3.25,3.0
field:cf_8f20b6e7578a41,field,Baros table,4,0.37259615384615385,0.37259615384615385,0.021056875633254504,0.46887495483257785,0.29531591371686045,0.29531591371686045,0.29531591371686045,0.29531591371686045,cf_8f20b6e7578a41,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,text,DV_TEXT,contains;equals;is_known;is_unknown,0.5576923076923077,0.5,0.27884615384615385,0.375,0.37259615384615385,4.0,3.25,3.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,canonical_group,Problem/Diagnosis,2,0.0,1.5067307692307692,0.08515128804467047,0.027943208722125218,0.017599733427651167,0.017599733427651167,0.017599733427651167,0.017599733427651167,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,canonical_subgroup,structure,3,0.0,1.5067307692307692,0.08515128804467047,0.14524708079899945,0.09148233220556501,0.09148233220556501,0.09148233220556501,0.09148233220556501,,,,,,,,,,,,,,,,
field:cf_bd9db9ae67063d,field,Problem,4,0.425,0.425,0.024018423302963846,0.5442345504937238,0.34278035518601735,0.34278035518601735,0.34278035518601735,0.34278035518601735,cf_bd9db9ae67063d,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_4e7e8ca2916a1e,field,Secondary Diagnosis,4,0.425,0.425,0.024018423302963846,0.622818375976287,0.39227554358659206,0.39227554358659206,0.39227554358659206,0.39227554358659206,cf_4e7e8ca2916a1e,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_0a229c157b8d2a,field,Associated causes,4,0.425,0.425,0.024018423302963846,0.5759890155330492,0.3627805679528241,0.3627805679528241,0.3627805679528241,0.3627805679528241,cf_0a229c157b8d2a,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_af0c9a7d79fe64,field,Invaded regional linphonodes,4,0.23173076923076924,0.23173076923076924,0.013096018135778929,0.3106533553326964,0.1956617186175829,0.1956617186175829,0.1956617186175829,0.1956617186175829,cf_af0c9a7d79fe64,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,boolean,DV_BOOLEAN,equals;is_known;is_unknown,0.3557692307692308,0.3,0.10673076923076923,0.5,0.23173076923076924,3.0,2.0,4.0
family:openEHR-EHR-COMPOSITION.hospitalisation.v1,composition_family,openEHR-EHR-COMPOSITION.hospitalisation.v1,1,0.0,9.154438405797102,0.5173533570149278,0.09220401068139511,0.05807371748499166,0.05807371748499166,0.05807371748499166,0.05807371748499166,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge,canonical_group,Patient discharge,2,0.0,1.8083333333333333,0.10219603640672852,0.15202107883386604,0.09574886296939554,0.09574886296939554,0.09574886296939554,0.09574886296939554,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge::Components,canonical_subgroup,Components,3,0.0,1.8083333333333333,0.10219603640672852,0.2572701171383851,0.16203885264440027,0.16203885264440027,0.16203885264440027,0.16203885264440027,,,,,,,,,,,,,,,,
field:cf_79ed78f34fef6f,field,date of discharge,4,0.8854166666666666,0.8854166666666666,0.050038381881174675,1.0634777674597502,0.6698201842047324,0.6698201842047324,0.6698201842047324,0.6698201842047324,cf_79ed78f34fef6f,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient discharge,Components,temporal,DV_DATE_TIME,after;before;between;equals;is_known;is_unknown,1.0,0.7916666666666666,0.7916666666666666,0.375,0.8854166666666666,6.0,6.0,3.0
field:cf_be52992cb12705,field,hospital infection,4,0.13541666666666666,0.13541666666666666,0.007652928993591421,0.1852489804707376,0.11667710413828147,0.11667710413828147,0.11667710413828147,0.11667710413828147,cf_be52992cb12705,Patient discharge / Components / hospital infection,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient discharge,Components,null,NULL_FLAVOUR,equals;is_known;is_unknown,1.0,0.041666666666666664,0.041666666666666664,0.375,0.13541666666666666,3.0,2.0,3.0
