source,target,source_label,target_label,source_type,target_type,distance,source_base_queriability,pairwise_influence
schema:root,schema:root,EHR Schema,EHR Schema,root,root,0.0,0.02,0.02
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,schema:root,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,EHR Schema,composition_family,root,5.114493259294764,0.02,0.0006713953646121443
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,schema:root,HCPA,EHR Schema,canonical_group,root,17.913080490639956,0.02,2.403243275849054e-07
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,schema:root,components / General data,EHR Schema,canonical_subgroup,root,21.665361295767944,0.02,2.3466532961772855e-08
field:cf_5cd62eaa6e16a8,schema:root,issue date,EHR Schema,field,root,26.55796092854883,0.5096153846153846,3.059119266605648e-08
field:cf_775d9002cb4e7b,schema:root,reason for encounter,EHR Schema,field,root,26.461938146852027,0.425,2.7076850733061802e-08
field:cf_b87e8363f020f7,schema:root,healthcare unit,EHR Schema,field,root,26.815807632087402,0.425,2.1742743408974922e-08
field:cf_8b431261fa7dca,schema:root,State,EHR Schema,field,root,27.751561936005988,0.425,1.2171685540837375e-08
field:cf_16800b2d3f5ef6,schema:root,patient age,EHR Schema,field,root,26.038597418217403,0.49038461538461536,4.061962165020697e-08
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,schema:root,Patient discharge,EHR Schema,canonical_group,root,10.254039488230225,0.02,2.7739004252637325e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,schema:root,Components,EHR Schema,canonical_subgroup,root,11.254039488230225,0.02,1.492204304212127e-05
field:cf_469c691048a0ce,schema:root,date of discharge,EHR Schema,field,root,13.217419183580438,0.4168269230769231,9.781789529040956e-05
field:cf_49533263f29569,schema:root,reason for discharge,EHR Schema,field,root,13.292051815899715,0.39375,8.822412165436272e-05
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,schema:root,Bariatric surgery evaluation,EHR Schema,canonical_group,root,10.764888926202698,0.02,2.0208693173935125e-05
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,schema:root,Components,EHR Schema,canonical_subgroup,root,11.764888926202698,0.02,1.0871154083975867e-05
field:cf_505d09ec39545c,schema:root,duration of follow-up (months),EHR Schema,field,root,14.32679203256325,0.5584935897435898,6.588220865077995e-05
field:cf_ac2de786b38da7,schema:root,Baros score,EHR Schema,field,root,14.726163766259772,0.37259615384615385,3.4312507918422605e-05
field:cf_8f20b6e7578a41,schema:root,Baros table,EHR Schema,field,root,15.441727497009552,0.37259615384615385,2.201800300172184e-05
