node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
schema:root,root,EHR Schema,0,0.0,22.081813114421813,1.0,1.737262082269304,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,composition_family,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1,0.0,10.283056526806527,0.4656799001749806,2.0114141460745847,0.9989999999999999,0.9989999999999999,0.9989999999999999,0.9989999999999999,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,canonical_group,HCPA,2,0.0,3.314423076923077,0.1500974154499297,1.7057069958667523,0.8471658072984936,0.8471658072984936,0.8471658072984936,0.8471658072984936,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,canonical_subgroup,components / General data,3,0.0,2.275,0.10302596024210434,1.6716301316567272,0.8302410047100997,0.8302410047100997,0.8302410047100997,0.8302410047100997,,,,,,,,,,,,,,,,
field:cf_5cd62eaa6e16a8,field,issue date,4,0.5096153846153846,0.5096153846153846,0.023078511804021682,1.366153186320655,0.6785211468248902,0.6785211468248902,0.6785211468248902,0.6785211468248902,cf_5cd62eaa6e16a8,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,1.0,0.38461538461538464,0.38461538461538464,0.5,0.5096153846153846,6.0,6.0,4.0
field:cf_775d9002cb4e7b,field,reason for encounter,4,0.425,0.425,0.019246607957316197,1.3047998407626789,0.6480490571599975,0.6480490571599975,0.6480490571599975,0.6480490571599975,cf_775d9002cb4e7b,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_b87e8363f020f7,field,healthcare unit,4,0.425,0.425,0.019246607957316197,1.3047998407626786,0.6480490571599974,0.6480490571599974,0.6480490571599974,0.6480490571599974,cf_b87e8363f020f7,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_8b431261fa7dca,field,State,4,0.425,0.425,0.019246607957316197,1.3047998407626786,0.6480490571599974,0.6480490571599974,0.6480490571599974,0.6480490571599974,cf_8b431261fa7dca,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_16800b2d3f5ef6,field,patient age,4,0.49038461538461536,0.49038461538461536,0.022207624566134072,1.3522092441483877,0.6715956719010509,0.6715956719010509,0.6715956719010509,0.6715956719010509,cf_16800b2d3f5ef6,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / General data,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,1.0,0.36538461538461536,0.36538461538461536,0.5,0.49038461538461536,6.0,6.0,4.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,canonical_group,Patient discharge,2,0.0,0.8105769230769231,0.036707897076962794,1.2496985525232096,0.6206821486301672,0.6206821486301672,0.6206821486301672,0.6206821486301672,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,canonical_subgroup,Components,3,0.0,0.8105769230769231,0.036707897076962794,0.9486356493968786,0.4711545931985013,0.4711545931985013,0.4711545931985013,0.4711545931985013,,,,,,,,,,,,,,,,
field:cf_469c691048a0ce,field,date of discharge,4,0.4168269230769231,0.4168269230769231,0.018876480881213964,0.8655918016758914,0.42990957956708675,0.42990957956708675,0.42990957956708675,0.42990957956708675,cf_469c691048a0ce,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,Components,temporal,DV_DATE_TIME,after;before;between;equals;is_known;is_unknown,1.0,0.3230769230769231,0.3230769230769231,0.375,0.4168269230769231,6.0,6.0,3.0
field:cf_49533263f29569,field,reason for discharge,4,0.39375,0.39375,0.01783141619574883,0.8488590710691706,0.4215990096584797,0.4215990096584797,0.4215990096584797,0.4215990096584797,cf_49533263f29569,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Patient discharge,Components,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,canonical_group,Bariatric surgery evaluation,2,0.0,1.3036858974358974,0.05903889733513094,1.335891458522181,0.6634911908460708,0.6634911908460708,0.6634911908460708,0.6634911908460708,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,canonical_subgroup,Components,3,0.0,1.3036858974358974,0.05903889733513094,1.1552290537088594,0.573762408357029,0.573762408357029,0.573762408357029,0.573762408357029,,,,,,,,,,,,,,,,
field:cf_505d09ec39545c,field,duration of follow-up (months),4,0.5584935897435898,0.5584935897435898,0.02529201686698603,1.092522745159097,0.5426183486597926,0.5426183486597926,0.5426183486597926,0.5426183486597926,cf_505d09ec39545c,Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.5576923076923077,0.8333333333333334,0.46474358974358976,0.375,0.5584935897435898,6.0,6.0,3.0
field:cf_ac2de786b38da7,field,Baros score,4,0.37259615384615385,0.37259615384615385,0.016873440234072456,0.9577313041605104,0.47567209106267866,0.47567209106267866,0.47567209106267866,0.47567209106267866,cf_ac2de786b38da7,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,text,DV_TEXT,contains;equals;is_known;is_unknown,0.5576923076923077,0.5,0.27884615384615385,0.375,0.37259615384615385,4.0,3.25,3.0
