source,target,edge_type,weight,relation_strength,relative_queriability
schema:root,family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,root_to_family,0.1955227916632135,33.0,0.1955227916632135
schema:root,family:openEHR-EHR-COMPOSITION.hospitalisation.v1,root_to_family,0.4163746228994206,15.0,0.4163746228994206
schema:root,family:openEHR-EHR-COMPOSITION.demographic_data.v1,root_to_family,0.3881025854373659,6.0,0.3881025854373659
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,family_to_group,0.07813362380739075,11.0,0.07813362380739075
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,family_to_group,0.19456970624566733,2.0,0.19456970624566733
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation,family_to_group,0.17697875670133914,3.0,0.17697875670133914
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,family_to_group,0.10005298499857175,8.0,0.10005298499857175
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,family_to_group,0.06663392812294318,6.0,0.06663392812294318
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_mass_index,family_to_group,0.19534223393167294,1.0,0.19534223393167294
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_weight,family_to_group,0.08314649340193751,1.0,0.08314649340193751
family:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Height/Length,family_to_group,0.10514227279047741,1.0,0.10514227279047741
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,group_to_subgroup,0.2665045746665248,5.0,0.2665045746665248
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_radiotherapy,group_to_subgroup,0.2904141884877563,1.0,0.2904141884877563
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_chemotherapy,group_to_subgroup,0.21527907908809696,3.0,0.21527907908809696
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_transplantation,group_to_subgroup,0.22780215775762208,2.0,0.22780215775762208
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_5cd62eaa6e16a8,subgroup_to_field,0.2043903190647164,1.0,0.2043903190647164
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_775d9002cb4e7b,subgroup_to_field,0.20848201353721427,1.0,0.20848201353721427
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_b87e8363f020f7,subgroup_to_field,0.19415793014836197,1.0,0.19415793014836197
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_8b431261fa7dca,subgroup_to_field,0.1643061179068996,1.0,0.1643061179068996
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_General_data,field:cf_16800b2d3f5ef6,subgroup_to_field,0.22866361934280777,1.0,0.22866361934280777
field:cf_5cd62eaa6e16a8,field:cf_16800b2d3f5ef6,sibling_context,0.5,0.5,0.5
field:cf_775d9002cb4e7b,field:cf_16800b2d3f5ef6,sibling_context,0.4576923076923077,0.5,0.4576923076923077
field:cf_775d9002cb4e7b,field:cf_b87e8363f020f7,sibling_context,0.425,0.5,0.425
field:cf_b87e8363f020f7,field:cf_775d9002cb4e7b,sibling_context,0.425,0.5,0.425
field:cf_b87e8363f020f7,field:cf_8b431261fa7dca,sibling_context,0.425,0.5,0.425
field:cf_8b431261fa7dca,field:cf_b87e8363f020f7,sibling_context,0.425,0.5,0.425
field:cf_16800b2d3f5ef6,field:cf_5cd62eaa6e16a8,sibling_context,0.5,0.5,0.5
field:cf_16800b2d3f5ef6,field:cf_775d9002cb4e7b,sibling_context,0.4576923076923077,0.5,0.4576923076923077
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge,subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,group_to_subgroup,1.0,2.0,1.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Patient_discharge::Components,field:cf_469c691048a0ce,subgroup_to_field,0.5093258335961488,1.0,0.5093258335961488
