method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,30,7,11,6,0.0,30.0,166,166,0,154.25,7.094433680367184
aqf_topk_no_threshold,30,7,11,6,0.0,30.0,166,166,0,154.25,7.094433680367184
frequency_only,30,7,11,6,0.0,30.0,157,157,0,142.5,6.76110034703385
flattened_topk,30,1,1,6,0.0,30.0,166,166,0,154.25,7.094433680367184
no_operator_awareness,30,7,11,6,0.0,30.0,330,166,164,360.0,7.094433680367184
no_pruning,35,7,12,6,0.0,35.0,187,187,0,172.5,7.2796188655523695
random_topk_1,30,7,11,6,0.0,30.0,157,157,0,145.0,6.613830547590139
random_topk_2,30,7,12,6,0.0,30.0,160,160,0,148.0,5.835174421107925
random_topk_3,30,7,11,6,0.0,30.0,162,162,0,150.25,6.855376441309945
random_topk_4,30,7,12,6,0.0,30.0,161,161,0,149.0,6.557469839055517
random_topk_5,30,6,11,6,0.0,30.0,157,157,0,143.0,5.5977016542233935
random_topk_6,30,7,12,6,0.0,30.0,159,159,0,145.75,4.724063309996814
random_topk_7,30,7,11,6,0.0,30.0,163,163,0,150.75,6.02035960629311
random_topk_8,30,7,12,6,0.0,30.0,157,157,0,143.5,5.687026272959777
random_topk_9,30,7,11,6,0.0,30.0,163,163,0,151.25,6.077598663532167
random_topk_10,30,7,11,6,0.0,30.0,161,161,0,149.0,6.801504387437891
random_topk_11,30,7,12,6,0.0,30.0,163,163,0,151.75,6.673558259491763
random_topk_12,30,7,12,6,0.0,30.0,161,161,0,149.0,5.738204724138228
random_topk_13,30,7,12,6,0.0,30.0,161,161,0,149.0,6.7105952965288
random_topk_14,30,7,10,6,0.0,30.0,163,163,0,150.75,6.835174421107925
random_topk_15,30,7,12,6,0.0,30.0,161,161,0,148.0,5.8755784615119655
random_topk_16,30,7,12,6,0.0,30.0,159,159,0,146.75,6.443870073281838
random_topk_17,30,7,11,6,0.0,30.0,159,159,0,146.75,6.268507754441258
random_topk_18,30,7,11,6,0.0,30.0,157,157,0,143.0,5.149184082943673
random_topk_19,30,7,12,6,0.0,30.0,161,161,0,149.5,6.648378929964608
random_topk_20,30,7,12,6,0.0,30.0,164,164,0,152.5,6.751672737606241
random_topk_21,30,7,11,6,0.0,30.0,160,160,0,147.5,5.316655902589407
random_topk_22,30,7,11,6,0.0,30.0,157,157,0,144.5,6.557469839055517
random_topk_23,30,5,10,6,0.0,30.0,157,157,0,144.0,5.950431854779681
random_topk_24,30,7,12,6,0.0,30.0,161,161,0,148.5,6.727430313363817
random_topk_25,30,6,10,6,0.0,30.0,163,163,0,150.75,5.856960913482652
random_topk_26,30,7,12,6,0.0,30.0,157,157,0,143.5,5.287026272959777
random_topk_27,30,7,11,6,0.0,30.0,161,161,0,149.0,5.714635700569204
random_topk_28,30,7,12,6,0.0,30.0,161,161,0,148.5,5.9075649934984975
random_topk_29,30,7,12,6,0.0,30.0,157,157,0,143.5,5.316655902589407
random_topk_30,30,7,12,6,0.0,30.0,161,161,0,148.0,5.6685809501666276
