comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.8095238095238095,0.9523809523809523,-0.1428571428571428,-14.999999999999995
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.8373015873015872,0.9523809523809523,-0.11507936507936511,-12.083333333333337
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,30.0,35.0,-5.0,-14.285714285714285
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,166.0,187.0,-21.0,-11.229946524064172
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,30.0,35.0,-5.0,-14.285714285714285
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,154.25,172.5,-18.25,-10.579710144927535
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.8095238095238095,0.8095238095238095,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.8373015873015872,0.8373015873015872,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,30.0,30.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,166.0,330.0,-164.0,-49.696969696969695
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,154.25,360.0,-205.75,-57.15277777777777
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,164.0,-164.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.8095238095238095,0.8809523809523809,-0.0714285714285714,-8.108108108108105
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.8373015873015872,0.9068027210884354,-0.06950113378684819,-7.664416104026019
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,30.0,30.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,166.0,157.0,9.0,5.7324840764331215
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,154.25,142.5,11.75,8.24561403508772
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.8095238095238095,0.8095238095238095,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.8373015873015872,0.8373015873015872,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,30.0,30.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,166.0,166.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,154.25,154.25,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
