method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,27,7,11,6,0.5,30.0,150,150,0,140.0,6.872211458144962
aqf_topk_no_threshold,27,7,11,6,0.5,30.0,150,150,0,140.0,6.872211458144962
frequency_only,27,7,11,6,0.5,30.0,143,143,0,130.5,6.427767013700517
flattened_topk,27,1,1,6,0.5,30.0,150,150,0,140.0,6.872211458144962
no_operator_awareness,27,7,11,6,0.5,30.0,297,150,147,324.0,6.872211458144962
no_pruning,35,7,12,6,0.5,38.0,187,187,0,172.5,7.2796188655523695
random_topk_1,27,7,11,6,0.5,30.0,141,141,0,130.25,5.724941658701249
random_topk_2,27,6,11,6,0.5,30.0,142,142,0,130.0,4.486590543112282
random_topk_3,27,7,11,6,0.5,30.0,148,148,0,137.75,6.245948831882336
random_topk_4,27,7,12,6,0.5,30.0,143,143,0,132.0,5.964877246462924
random_topk_5,27,6,11,6,0.5,30.0,139,139,0,126.5,5.097774849948763
random_topk_6,27,7,12,6,0.5,30.0,141,141,0,129.25,4.166897448483126
random_topk_7,27,7,10,6,0.5,30.0,147,147,0,136.0,5.583322569256073
random_topk_8,27,7,12,6,0.5,30.0,141,141,0,129.25,5.166897448483126
random_topk_9,27,6,10,6,0.5,30.0,147,147,0,137.0,5.801504387437891
random_topk_10,27,7,11,6,0.5,30.0,143,143,0,132.5,6.36042694636045
random_topk_11,27,7,12,6,0.5,30.0,148,148,0,138.75,6.3283086620682525
random_topk_12,27,7,12,6,0.5,30.0,146,146,0,135.5,4.736594418180096
random_topk_13,27,7,10,6,0.5,30.0,145,145,0,134.75,6.266150852084356
random_topk_14,27,7,10,6,0.5,30.0,147,147,0,136.5,6.4850060709395745
random_topk_15,27,7,12,6,0.5,30.0,146,146,0,135.0,5.579282165215669
random_topk_16,27,7,11,6,0.5,30.0,141,141,0,130.25,6.110536739948505
random_topk_17,27,7,10,5,0.5,29.5,148,148,0,137.75,5.955376441309945
random_topk_18,27,7,11,6,0.5,30.0,141,141,0,128.25,4.334369268128859
random_topk_19,27,6,10,6,0.5,30.0,143,143,0,132.0,5.781276533450447
random_topk_20,27,6,11,6,0.5,30.0,146,146,0,135.0,5.4771629336846726
random_topk_21,27,7,11,6,0.5,30.0,142,142,0,130.0,5.04056162649513
random_topk_22,27,7,10,6,0.5,30.0,141,141,0,129.75,6.075988357574035
random_topk_23,27,5,10,6,0.5,30.0,143,143,0,131.5,4.9335968379446635
random_topk_24,27,7,12,6,0.5,30.0,143,143,0,131.5,5.284742566328244
random_topk_25,27,6,10,6,0.5,30.0,145,145,0,133.75,5.375479432001171
random_topk_26,27,7,12,6,0.5,30.0,143,143,0,131.5,4.845948831882335
random_topk_27,27,7,11,6,0.5,30.0,149,149,0,139.25,5.327430313363817
random_topk_28,27,7,12,6,0.5,30.0,152,152,0,142.25,5.742581828515332
random_topk_29,27,7,12,6,0.5,30.0,139,139,0,127.0,4.912615498549003
random_topk_30,27,7,12,6,0.5,30.0,145,145,0,132.75,5.1113418929275705
