method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,24,7,11,6,1.0,30.0,140,140,0,132.5,6.5994841854176896,42,0.6190476190476191,0.687641723356009,False
aqf_topk_no_threshold,24,7,11,6,1.0,30.0,140,140,0,132.5,6.5994841854176896,42,0.6190476190476191,0.687641723356009,False
frequency_only,24,7,9,6,1.0,30.0,129,129,0,118.5,6.064804050737554,42,0.7142857142857143,0.7924036281179138,True
flattened_topk,24,1,1,6,1.0,30.0,140,140,0,132.5,6.5994841854176896,42,0.6190476190476191,0.687641723356009,False
no_operator_awareness,24,7,11,6,1.0,30.0,264,140,124,288.0,6.5994841854176896,42,0.6190476190476191,0.687641723356009,False
no_pruning,35,7,12,6,1.0,41.0,187,187,0,172.5,7.2796188655523695,42,0.9523809523809523,0.9523809523809523,True
random_topk_1,24,7,11,6,1.0,30.0,127,127,0,117.25,5.448847382606973,42,0.4523809523809524,0.5607709750566894,False
random_topk_2,24,6,11,6,1.0,30.0,128,128,0,117.5,4.116220172741912,42,0.5238095238095238,0.715249433106576,False
random_topk_3,24,7,11,6,1.0,30.0,130,130,0,120.75,4.949652535586039,42,0.38095238095238093,0.6170634920634921,False
random_topk_4,24,7,11,6,1.0,30.0,127,127,0,117.75,5.56083684242252,42,0.6190476190476191,0.7557823129251701,False
random_topk_5,24,6,11,6,1.0,30.0,121,121,0,110.0,4.728282828282828,42,0.4523809523809524,0.6683673469387755,False
random_topk_6,24,7,11,6,1.0,30.0,129,129,0,119.0,3.944675226260904,42,0.47619047619047616,0.6425736961451247,False
random_topk_7,24,6,9,6,1.0,30.0,129,129,0,118.0,4.2717757282974675,42,0.5952380952380952,0.7175170068027211,False
random_topk_8,24,6,11,6,1.0,30.0,123,123,0,111.75,4.391582491582492,42,0.5952380952380952,0.7353174603174603,False
random_topk_9,24,6,10,6,1.0,30.0,131,131,0,122.75,5.488373074306578,42,0.6904761904761905,0.768140589569161,False
random_topk_10,24,7,10,6,1.0,30.0,129,129,0,120.5,5.9530195389530425,42,0.38095238095238093,0.5556689342403628,False
random_topk_11,24,7,11,6,1.0,30.0,130,130,0,120.75,5.476456810216401,42,0.30952380952380953,0.4741496598639456,False
random_topk_12,24,7,11,6,1.0,30.0,130,130,0,120.25,4.440298121883799,42,0.5476190476190477,0.6766439909297052,False
random_topk_13,24,7,10,6,1.0,30.0,127,127,0,117.75,5.858743444676948,42,0.5238095238095238,0.6905895691609977,False
random_topk_14,24,7,10,6,1.0,30.0,136,136,0,127.5,5.3570599429934465,42,0.5238095238095238,0.6674603174603175,False
random_topk_15,24,7,12,6,1.0,30.0,132,132,0,123.0,5.229113815047318,42,0.40476190476190477,0.6466553287981859,False
random_topk_16,26,7,9,4,1.0,30.0,137,137,0,127.0,5.858684888096652,42,0.5476190476190477,0.7479591836734694,False
random_topk_17,25,6,9,5,1.0,30.0,136,136,0,126.25,5.38457034109208,42,0.5714285714285714,0.7087301587301587,False
random_topk_18,24,7,11,6,1.0,30.0,127,127,0,115.25,3.7047396384992295,42,0.5,0.6688775510204081,False
random_topk_19,24,6,10,6,1.0,30.0,125,125,0,115.5,5.391582491582492,42,0.5952380952380952,0.7956916099773242,False
random_topk_20,24,6,10,6,1.0,30.0,128,128,0,118.0,4.756624213145952,42,0.7142857142857143,0.8106575963718822,True
random_topk_21,24,7,10,6,1.0,30.0,124,124,0,112.5,4.594506876092554,42,0.47619047619047616,0.673639455782313,False
random_topk_22,24,6,9,6,1.0,30.0,125,125,0,115.0,5.41427316644708,42,0.6428571428571429,0.784126984126984,False
random_topk_23,24,5,10,6,1.0,30.0,129,129,0,119.0,4.637300541648368,42,0.3333333333333333,0.5883219954648526,False
random_topk_24,24,7,12,6,1.0,30.0,125,125,0,114.5,4.914372195957873,42,0.5714285714285714,0.7116213151927437,False
random_topk_25,24,6,10,6,1.0,30.0,127,127,0,117.25,4.897364953886693,42,0.35714285714285715,0.5869614512471655,False
random_topk_26,24,7,11,6,1.0,30.0,129,129,0,119.0,4.532817518751022,42,0.35714285714285715,0.576360544217687,False
random_topk_27,24,7,10,6,1.0,30.0,131,131,0,121.75,4.92002290595641,42,0.5476190476190477,0.6926303854875284,False
random_topk_28,24,6,11,6,1.0,30.0,134,134,0,124.75,5.060664617186356,42,0.5952380952380952,0.7353174603174603,False
random_topk_29,24,6,11,6,1.0,30.0,121,121,0,109.0,4.230698287220026,42,0.47619047619047616,0.601360544217687,False
random_topk_30,24,7,12,6,1.0,30.0,129,129,0,118.5,4.666897448483126,42,0.5476190476190477,0.7130952380952381,False
