method,precision_at_10,precision_at_20,recall_at_20
aqf_full,0.8,0.65,0.4482758620689655
aqf_topk_no_threshold,0.8,0.65,0.4482758620689655
frequency_only,0.7,0.8,0.5517241379310345
flattened_topk,0.8,0.65,0.4482758620689655
no_operator_awareness,0.8,0.65,0.4482758620689655
no_pruning,0.8,0.65,0.4482758620689655
random_topk_1,0.8,0.6,0.41379310344827586
random_topk_2,0.6,0.7,0.4827586206896552
random_topk_3,0.8,0.65,0.4482758620689655
random_topk_4,0.8,0.75,0.5172413793103449
random_topk_5,0.7,0.6,0.41379310344827586
random_topk_6,0.6,0.65,0.4482758620689655
random_topk_7,0.6,0.65,0.4482758620689655
random_topk_8,0.5,0.6,0.41379310344827586
random_topk_9,0.8,0.7,0.4827586206896552
random_topk_10,0.7,0.6,0.41379310344827586
random_topk_11,0.7,0.6,0.41379310344827586
random_topk_12,0.5,0.6,0.41379310344827586
random_topk_13,0.7,0.65,0.4482758620689655
random_topk_14,0.8,0.65,0.4482758620689655
random_topk_15,0.8,0.7,0.4827586206896552
random_topk_16,0.8,0.75,0.5172413793103449
random_topk_17,0.6,0.65,0.4482758620689655
random_topk_18,0.6,0.65,0.4482758620689655
random_topk_19,0.7,0.7,0.4827586206896552
random_topk_20,0.8,0.75,0.5172413793103449
random_topk_21,0.6,0.7,0.4827586206896552
random_topk_22,0.8,0.7,0.4827586206896552
random_topk_23,0.6,0.55,0.3793103448275862
random_topk_24,0.6,0.6,0.41379310344827586
random_topk_25,0.5,0.6,0.41379310344827586
random_topk_26,0.7,0.65,0.4482758620689655
random_topk_27,0.7,0.7,0.4827586206896552
random_topk_28,0.7,0.65,0.4482758620689655
random_topk_29,0.6,0.65,0.4482758620689655
random_topk_30,0.7,0.7,0.4827586206896552
