method,field_count,form_group_count,subgroup_count,max_depth,avg_depth,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,ambiguous_label_resolution_rate
aqf_full,21,7,11,6,3.9523809523809526,1.0,1.0,0,1.0
aqf_topk_no_threshold,21,7,11,6,3.9523809523809526,1.0,1.0,0,1.0
frequency_only,22,7,8,5,3.4545454545454546,1.0,1.0,0,1.0
flattened_topk,21,1,1,6,3.9523809523809526,0.0,1.0,0,1.0
no_operator_awareness,21,7,11,6,3.9523809523809526,1.0,1.0,0,1.0
no_pruning,35,7,12,6,3.742857142857143,1.0,1.0,0,1.0
random_topk_1,21,7,11,6,3.7142857142857144,1.0,1.0,0,1.0
random_topk_2,21,6,10,6,3.7142857142857144,1.0,1.0,0,1.0
random_topk_3,21,6,9,6,3.761904761904762,1.0,1.0,0,1.0
random_topk_4,21,7,11,6,3.8095238095238093,1.0,1.0,0,1.0
random_topk_5,21,6,11,6,3.8095238095238093,1.0,1.0,0,1.0
random_topk_6,21,7,11,6,3.619047619047619,1.0,1.0,0,1.0
random_topk_7,21,6,8,6,3.5714285714285716,1.0,1.0,0,1.0
random_topk_8,21,6,11,6,3.9523809523809526,1.0,1.0,0,1.0
random_topk_9,21,5,9,6,3.9523809523809526,1.0,1.0,0,1.0
random_topk_10,21,7,10,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_11,21,6,9,6,3.619047619047619,1.0,1.0,0,1.0
random_topk_12,21,7,10,6,3.7142857142857144,1.0,1.0,0,1.0
random_topk_13,21,6,9,6,3.7142857142857144,1.0,1.0,0,1.0
random_topk_14,21,7,9,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_15,21,7,12,6,3.857142857142857,1.0,1.0,0,1.0
random_topk_16,24,7,9,4,3.4166666666666665,1.0,1.0,0,1.0
random_topk_17,22,6,9,5,3.590909090909091,1.0,1.0,0,1.0
random_topk_18,21,7,9,6,3.4761904761904763,1.0,1.0,0,1.0
random_topk_19,21,6,9,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_20,21,6,9,6,3.5714285714285716,1.0,1.0,0,1.0
random_topk_21,21,7,10,6,3.7142857142857144,1.0,1.0,0,1.0
random_topk_22,21,6,9,6,3.8095238095238093,1.0,1.0,0,1.0
random_topk_23,21,5,9,6,3.9523809523809526,1.0,1.0,0,1.0
random_topk_24,21,7,11,6,3.761904761904762,1.0,1.0,0,1.0
random_topk_25,21,6,9,6,3.7142857142857144,1.0,1.0,0,1.0
random_topk_26,21,6,10,6,3.7142857142857144,1.0,1.0,0,1.0
random_topk_27,21,7,9,6,3.619047619047619,1.0,1.0,0,1.0
random_topk_28,21,6,10,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_29,21,5,10,6,3.9523809523809526,1.0,1.0,0,1.0
random_topk_30,21,7,12,6,3.857142857142857,1.0,1.0,0,1.0
