method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
aqf_full,demographic,12,0.3333333333333333,0.43452380952380953,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,diagnosis_oriented,10,0.7,0.8166666666666668,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,temporal,7,0.8571428571428571,0.9285714285714286,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,treatment_procedure,8,0.375,0.375,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,demographic,12,0.3333333333333333,0.43452380952380953,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,diagnosis_oriented,10,0.7,0.8166666666666668,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,temporal,7,0.8571428571428571,0.9285714285714286,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,treatment_procedure,8,0.375,0.375,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,demographic,12,0.3333333333333333,0.43452380952380953,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,diagnosis_oriented,10,0.7,0.8166666666666668,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,temporal,7,0.8571428571428571,0.9285714285714286,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,treatment_procedure,8,0.375,0.375,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,demographic,12,1.0,1.0,0,SUPPORTED
frequency_only,diagnosis_oriented,10,0.3,0.5119047619047619,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,general_clinical,5,1.0,1.0,0,SUPPORTED
frequency_only,temporal,7,1.0,1.0,0,SUPPORTED
frequency_only,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,demographic,12,0.3333333333333333,0.43452380952380953,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,diagnosis_oriented,10,0.7,0.8166666666666668,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,temporal,7,0.8571428571428571,0.9285714285714286,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,treatment_procedure,8,0.375,0.375,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_pruning,demographic,12,1.0,1.0,0,SUPPORTED
no_pruning,diagnosis_oriented,10,1.0,1.0,0,SUPPORTED
no_pruning,general_clinical,6,1.0,1.0,0,SUPPORTED
no_pruning,temporal,7,1.0,1.0,0,SUPPORTED
no_pruning,treatment_procedure,7,0.7142857142857143,0.7142857142857143,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,demographic,12,0.4166666666666667,0.628968253968254,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,diagnosis_oriented,10,0.7,0.8547619047619047,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,general_clinical,6,0.16666666666666666,0.16666666666666666,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,temporal,7,0.14285714285714285,0.21428571428571427,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,treatment_procedure,7,0.2857142857142857,0.5602040816326531,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,demographic,12,0.16666666666666666,0.39126984126984127,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,diagnosis_oriented,10,0.1,0.37857142857142856,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,temporal,7,0.7142857142857143,0.8428571428571429,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,treatment_procedure,8,0.375,0.4285714285714286,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,demographic,12,0.3333333333333333,0.45436507936507936,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,diagnosis_oriented,10,0.4,0.6285714285714286,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,general_clinical,5,0.0,0.1,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,temporal,7,0.14285714285714285,0.2285714285714286,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,treatment_procedure,8,0.25,0.3607142857142857,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,demographic,12,0.25,0.41269841269841273,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,diagnosis_oriented,10,0.4,0.6619047619047619,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,temporal,7,0.42857142857142855,0.7448979591836735,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,treatment_procedure,7,0.2857142857142857,0.4448979591836735,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,demographic,12,0.25,0.567857142857143,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,diagnosis_oriented,10,0.1,0.37857142857142856,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,general_clinical,6,0.8333333333333334,0.9166666666666666,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,temporal,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,treatment_procedure,7,0.5714285714285714,0.6530612244897959,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,demographic,12,0.16666666666666666,0.4321428571428571,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,diagnosis_oriented,10,0.4,0.5547619047619048,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_14,temporal,7,1.0,1.0,0,SUPPORTED
random_topk_14,treatment_procedure,7,0.2857142857142857,0.4408163265306122,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,demographic,12,0.4166666666666667,0.6511904761904762,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,diagnosis_oriented,10,0.2,0.4666666666666666,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,general_clinical,6,0.3333333333333333,0.47222222222222215,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,temporal,7,0.14285714285714285,0.6520408163265305,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,treatment_procedure,7,0.42857142857142855,0.5877551020408163,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,demographic,12,1.0,1.0,0,SUPPORTED
