method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage
aqf_full,21,7,11,6,1.5,30.0,124,124,0,118.25,6.286352872286376,42,0.5714285714285714,0.6519274376417233
aqf_topk_no_threshold,21,7,11,6,1.5,30.0,124,124,0,118.25,6.286352872286376,42,0.5714285714285714,0.6519274376417233
frequency_only,22,7,8,5,1.5,29.5,120,120,0,110.5,5.842581828515332,42,0.6666666666666666,0.7385487528344671
flattened_topk,21,1,1,6,1.5,30.0,124,124,0,118.25,6.286352872286376,42,0.5714285714285714,0.6519274376417233
no_operator_awareness,21,7,11,6,1.5,30.0,231,124,107,252.0,6.286352872286376,42,0.5714285714285714,0.6519274376417233
no_pruning,35,7,12,6,1.5,44.0,187,187,0,172.5,7.2796188655523695,42,0.9523809523809523,0.9523809523809523
random_topk_1,21,7,11,6,1.5,30.0,109,109,0,100.75,4.937736271495862,42,0.38095238095238093,0.5361111111111111
random_topk_2,21,6,10,6,1.5,30.0,112,112,0,102.75,3.375479432001171,42,0.5238095238095238,0.715249433106576
random_topk_3,21,6,9,6,1.5,30.0,114,114,0,105.5,4.267735324257063,42,0.30952380952380953,0.5531179138321995
random_topk_4,21,7,11,6,1.5,30.0,111,111,0,103.0,4.338614620200298,42,0.38095238095238093,0.5963151927437641
random_topk_5,21,6,11,6,1.5,30.0,107,107,0,97.5,4.118855218855219,42,0.42857142857142855,0.6366213151927438
random_topk_6,21,7,11,6,1.5,30.0,111,111,0,102.0,3.488314517726282,42,0.35714285714285715,0.5345238095238095
random_topk_7,21,6,8,6,1.5,30.0,111,111,0,101.5,3.8475333040550432,42,0.3333333333333333,0.5213151927437641
random_topk_8,21,6,11,6,1.5,30.0,109,109,0,99.75,3.9875420875420873,42,0.30952380952380953,0.5539115646258503
random_topk_9,21,5,9,6,1.5,30.0,113,113,0,105.25,4.732381788903528,42,0.6428571428571429,0.7348072562358277
random_topk_10,21,7,10,6,1.5,30.0,113,113,0,105.25,4.9530195389530425,42,0.35714285714285715,0.5311791383219955
random_topk_11,21,6,9,6,1.5,30.0,112,112,0,102.75,3.794539598887425,42,0.2619047619047619,0.3981859410430839
random_topk_12,21,7,10,6,1.5,30.0,112,112,0,102.75,3.7172707466825115,42,0.35714285714285715,0.573015873015873
random_topk_13,21,6,9,6,1.5,30.0,115,115,0,107.5,5.284669370602875,42,0.4523809523809524,0.6350340136054422
random_topk_14,21,7,9,6,1.5,30.0,118,118,0,110.0,4.986689572623076,42,0.5,0.6385487528344671
random_topk_15,21,7,12,6,1.5,30.0,114,114,0,106.0,4.7105952965288,42,0.30952380952380953,0.5712585034013605
random_topk_16,24,7,9,4,1.5,30.0,125,125,0,115.5,5.636462665874431,42,0.5476190476190477,0.7479591836734694
random_topk_17,22,6,9,5,1.5,29.5,122,122,0,113.75,4.1253110818328205,42,0.42857142857142855,0.5770975056689343
random_topk_18,21,7,9,6,1.5,30.0,111,111,0,100.5,3.334369268128859,42,0.40476190476190477,0.5854308390022676
random_topk_19,21,6,9,6,1.5,30.0,107,107,0,97.5,4.428619528619529,42,0.5476190476190477,0.7223922902494332
random_topk_20,21,6,9,6,1.5,30.0,114,114,0,106.0,4.312179768701507,42,0.6666666666666666,0.7482993197278911
random_topk_21,21,7,10,6,1.5,30.0,108,108,0,97.75,3.816729098314776,42,0.35714285714285715,0.5982426303854875
random_topk_22,21,6,9,6,1.5,30.0,107,107,0,97.5,3.931108183282096,42,0.5476190476190477,0.7159863945578232
random_topk_23,21,5,9,6,1.5,30.0,111,111,0,101.5,4.4723173766652025,42,0.2619047619047619,0.482766439909297
random_topk_24,21,7,11,6,1.5,30.0,107,107,0,98.0,4.440298121883799,42,0.5,0.6691043083900227
random_topk_25,21,6,9,6,1.5,30.0,115,115,0,107.0,4.58423364075538,42,0.2619047619047619,0.5290249433106575
random_topk_26,21,6,10,6,1.5,30.0,111,111,0,101.5,3.84514367890327,42,0.2619047619047619,0.4751133786848073
random_topk_27,21,7,9,6,1.5,30.0,116,116,0,108.25,4.586689572623077,42,0.47619047619047616,0.6346938775510205
random_topk_28,21,6,10,6,1.5,30.0,118,118,0,110.0,4.62362758014932,42,0.5476190476190477,0.7064058956916099
random_topk_29,21,5,10,6,1.5,30.0,109,109,0,98.75,3.673459229980969,42,0.47619047619047616,0.5894557823129252
random_topk_30,21,7,12,6,1.5,30.0,119,119,0,111.0,4.4085165379283024,42,0.40476190476190477,0.5801020408163265
