comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.5714285714285714,0.9523809523809523,-0.38095238095238093,-40.0
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.6519274376417233,0.9523809523809523,-0.300453514739229,-31.547619047619047
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,21.0,35.0,-14.0,-40.0
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,124.0,187.0,-63.0,-33.68983957219251
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,30.0,44.0,-14.0,-31.818181818181817
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,118.25,172.5,-54.25,-31.44927536231884
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.5714285714285714,0.5714285714285714,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.6519274376417233,0.6519274376417233,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,21.0,21.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,124.0,231.0,-107.0,-46.320346320346324
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,118.25,252.0,-133.75,-53.07539682539682
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,107.0,-107.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.5714285714285714,0.6666666666666666,-0.09523809523809523,-14.285714285714285
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.6519274376417233,0.7385487528344671,-0.08662131519274374,-11.72858458704329
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,21.0,22.0,-1.0,-4.545454545454546
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,124.0,120.0,4.0,3.3333333333333335
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,30.0,29.5,0.5,1.694915254237288
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,118.25,110.5,7.75,7.013574660633484
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.5714285714285714,0.5714285714285714,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.6519274376417233,0.6519274376417233,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,21.0,21.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,124.0,124.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,118.25,118.25,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
