method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,18,108,108,0,103.5
aqf_topk_no_threshold,18,108,108,0,103.5
flattened_topk,18,108,108,0,103.5
frequency_only,22,117,117,0,107.0
no_operator_awareness,18,198,108,90,216.0
no_pruning,35,187,187,0,172.5
random_topk_1,18,91,91,0,83.25
random_topk_10,18,95,95,0,88.75
random_topk_11,18,98,98,0,89.75
random_topk_12,18,96,96,0,88.0
random_topk_13,18,97,97,0,90.0
random_topk_14,18,104,104,0,98.0
random_topk_15,18,96,96,0,88.5
random_topk_16,22,113,113,0,103.5
random_topk_17,20,110,110,0,102.25
random_topk_18,18,97,97,0,88.0
random_topk_19,18,91,91,0,82.75
random_topk_2,18,94,94,0,86.25
random_topk_20,22,118,118,0,108.75
random_topk_21,18,92,92,0,83.0
random_topk_22,18,91,91,0,82.75
random_topk_23,18,93,93,0,84.5
random_topk_24,18,91,91,0,83.75
random_topk_25,18,97,97,0,90.0
random_topk_26,18,93,93,0,84.0
random_topk_27,18,100,100,0,94.0
random_topk_28,18,100,100,0,93.0
random_topk_29,18,93,93,0,84.5
random_topk_3,18,96,96,0,88.5
random_topk_30,18,103,103,0,96.25
random_topk_4,18,93,93,0,86.0
random_topk_5,18,93,93,0,85.5
random_topk_6,18,93,93,0,84.5
random_topk_7,18,93,93,0,84.5
random_topk_8,18,93,93,0,84.5
random_topk_9,18,98,98,0,91.25
