method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage
aqf_full,27,7,11,6,0.5,30.0,148,148,0,136.75,18.370995388509833,42,0.8095238095238095,0.8373015873015872
aqf_topk_no_threshold,27,7,11,6,0.5,30.0,148,148,0,136.75,18.370995388509833,42,0.8095238095238095,0.8373015873015872
frequency_only,27,7,11,6,0.5,30.0,143,143,0,130.5,18.246194131648334,42,0.8571428571428571,0.8948979591836735
flattened_topk,27,1,1,6,0.5,30.0,148,148,0,136.75,18.370995388509833,42,0.8095238095238095,0.8373015873015872
no_operator_awareness,27,7,11,6,0.5,30.0,297,148,149,324.0,18.370995388509833,42,0.8095238095238095,0.8373015873015872
no_pruning,35,7,12,6,0.5,38.0,187,187,0,172.5,19.94819559939007,42,0.9523809523809523,0.9523809523809523
random_topk_1,27,7,11,6,0.5,30.0,141,141,0,130.25,14.979852894133467,42,0.5,0.6027210884353741
random_topk_2,27,6,11,6,0.5,30.0,142,142,0,130.0,14.408074700463636,42,0.7619047619047619,0.8286848072562358
random_topk_3,27,7,11,6,0.5,30.0,148,148,0,137.75,15.690905687866,42,0.6666666666666666,0.7765306122448979
random_topk_4,27,7,12,6,0.5,30.0,143,143,0,132.0,15.175972602154284,42,0.7619047619047619,0.8638321995464852
random_topk_5,27,6,11,6,0.5,30.0,139,139,0,126.5,14.841994683981044,42,0.5714285714285714,0.7755668934240363
random_topk_6,27,7,12,6,0.5,30.0,141,141,0,129.25,13.663511436553021,42,0.5,0.7073129251700679
random_topk_7,27,7,10,6,0.5,30.0,147,147,0,136.0,16.191867910260445,42,0.7142857142857143,0.7860544217687074
random_topk_8,27,7,12,6,0.5,30.0,141,141,0,129.25,14.686790388173357,42,0.7142857142857143,0.8341836734693877
random_topk_9,27,6,10,6,0.5,30.0,147,147,0,137.0,15.277758954197337,42,0.7619047619047619,0.8201814058956917
random_topk_10,27,7,11,6,0.5,30.0,143,143,0,132.5,15.875993444597215,42,0.6190476190476191,0.7335600907029478
random_topk_11,27,7,12,6,0.5,30.0,148,148,0,138.75,16.202059603327008,42,0.3333333333333333,0.5576530612244898
random_topk_12,27,7,12,6,0.5,30.0,146,146,0,135.5,13.987542183222775,42,0.5952380952380952,0.707936507936508
random_topk_13,27,7,10,6,0.5,30.0,145,145,0,134.75,16.147242402873736,42,0.5238095238095238,0.7007936507936507
random_topk_14,27,7,10,6,0.5,30.0,147,147,0,136.5,16.563677448923258,42,0.6666666666666666,0.7990929705215419
random_topk_15,27,7,12,6,0.5,30.0,146,146,0,135.0,15.29857405477847,42,0.4523809523809524,0.6784013605442177
random_topk_16,27,7,11,6,0.5,30.0,141,141,0,130.25,15.231799463486496,42,0.6666666666666666,0.8290249433106576
random_topk_17,27,7,10,5,0.5,29.5,148,148,0,137.75,15.669383886543118,42,0.5952380952380952,0.7182539682539683
random_topk_18,27,7,11,6,0.5,30.0,141,141,0,128.25,14.158262186769338,42,0.5,0.6688775510204081
random_topk_19,27,6,10,6,0.5,30.0,143,143,0,132.0,15.81063733224385,42,0.7857142857142857,0.8850340136054422
random_topk_20,27,6,11,6,0.5,30.0,146,146,0,135.0,15.205022110212031,42,0.7380952380952381,0.822562358276644
random_topk_21,27,7,11,6,0.5,30.0,142,142,0,130.0,15.042566009308455,42,0.5238095238095238,0.7090136054421768
random_topk_22,27,7,10,6,0.5,30.0,141,141,0,129.75,16.405746253542976,42,0.6666666666666666,0.8055555555555556
random_topk_23,27,5,10,6,0.5,30.0,143,143,0,131.5,13.577698780613435,42,0.40476190476190477,0.6284580498866214
random_topk_24,27,7,12,6,0.5,30.0,143,143,0,131.5,14.90787750256823,42,0.5714285714285714,0.7175736961451248
random_topk_25,27,6,10,6,0.5,30.0,145,145,0,133.75,15.454884961515633,42,0.5714285714285714,0.7581065759637189
random_topk_26,27,7,12,6,0.5,30.0,143,143,0,131.5,14.522949424145787,42,0.42857142857142855,0.6302154195011338
random_topk_27,27,7,11,6,0.5,30.0,149,149,0,139.25,14.527524941563021,42,0.5476190476190477,0.7028344671201814
random_topk_28,27,7,12,6,0.5,30.0,152,152,0,142.25,15.33982309916761,42,0.6190476190476191,0.7659297052154195
random_topk_29,27,7,12,6,0.5,30.0,139,139,0,127.0,14.228937029031753,42,0.5238095238095238,0.6319727891156462
random_topk_30,27,7,12,6,0.5,30.0,145,145,0,132.75,14.531069735592801,42,0.7142857142857143,0.8286281179138322
