method,precision_at_10,precision_at_20,recall_at_20
aqf_full,0.8,0.75,0.5172413793103449
aqf_topk_no_threshold,0.8,0.75,0.5172413793103449
frequency_only,0.8,0.75,0.5172413793103449
flattened_topk,0.8,0.75,0.5172413793103449
no_operator_awareness,0.8,0.75,0.5172413793103449
no_pruning,0.8,0.75,0.5172413793103449
random_topk_1,0.8,0.65,0.4482758620689655
random_topk_2,0.9,0.7,0.4827586206896552
random_topk_3,0.9,0.65,0.4482758620689655
random_topk_4,1.0,0.75,0.5172413793103449
random_topk_5,0.9,0.65,0.4482758620689655
random_topk_6,0.8,0.65,0.4482758620689655
random_topk_7,0.8,0.7,0.4827586206896552
random_topk_8,0.8,0.65,0.4482758620689655
random_topk_9,0.8,0.75,0.5172413793103449
random_topk_10,0.8,0.7,0.4827586206896552
random_topk_11,0.8,0.65,0.4482758620689655
random_topk_12,0.8,0.55,0.3793103448275862
random_topk_13,0.8,0.6,0.41379310344827586
random_topk_14,0.9,0.75,0.5172413793103449
random_topk_15,0.9,0.65,0.4482758620689655
random_topk_16,0.9,0.75,0.5172413793103449
random_topk_17,0.9,0.6,0.41379310344827586
random_topk_18,0.8,0.6,0.41379310344827586
random_topk_19,0.8,0.65,0.4482758620689655
random_topk_20,0.8,0.7,0.4827586206896552
random_topk_21,0.8,0.7,0.4827586206896552
random_topk_22,0.9,0.7,0.4827586206896552
random_topk_23,0.7,0.5,0.3448275862068966
random_topk_24,0.8,0.6,0.41379310344827586
random_topk_25,0.8,0.65,0.4482758620689655
random_topk_26,0.8,0.6,0.41379310344827586
random_topk_27,0.8,0.65,0.4482758620689655
random_topk_28,0.9,0.7,0.4827586206896552
random_topk_29,0.8,0.65,0.4482758620689655
random_topk_30,0.9,0.7,0.4827586206896552
