method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,24,132,132,0,122.0
aqf_topk_no_threshold,24,132,132,0,122.0
flattened_topk,24,132,132,0,122.0
frequency_only,24,129,129,0,118.5
no_operator_awareness,24,264,132,132,288.0
no_pruning,35,187,187,0,172.5
random_topk_1,24,127,127,0,117.25
random_topk_10,24,129,129,0,120.5
random_topk_11,24,130,130,0,120.75
random_topk_12,24,130,130,0,120.25
random_topk_13,24,127,127,0,117.75
random_topk_14,24,136,136,0,127.5
random_topk_15,24,132,132,0,123.0
random_topk_16,26,137,137,0,127.0
random_topk_17,25,136,136,0,126.25
random_topk_18,24,127,127,0,115.25
random_topk_19,24,125,125,0,115.5
random_topk_2,24,128,128,0,117.5
random_topk_20,24,128,128,0,118.0
random_topk_21,24,124,124,0,112.5
random_topk_22,24,125,125,0,115.0
random_topk_23,24,129,129,0,119.0
random_topk_24,24,125,125,0,114.5
random_topk_25,24,127,127,0,117.25
random_topk_26,24,129,129,0,119.0
random_topk_27,24,131,131,0,121.75
random_topk_28,24,134,134,0,124.75
random_topk_29,24,121,121,0,109.0
random_topk_3,24,130,130,0,120.75
random_topk_30,24,129,129,0,118.5
random_topk_4,24,127,127,0,117.75
random_topk_5,24,121,121,0,110.0
random_topk_6,24,129,129,0,119.0
random_topk_7,24,129,129,0,118.0
random_topk_8,24,123,123,0,111.75
random_topk_9,24,131,131,0,122.75
