method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,22,7,8,5,1.5,29.5,120,120,0,110.5,16.759858118298965
aqf_topk_no_threshold,22,7,8,5,1.5,29.5,120,120,0,110.5,16.759858118298965
frequency_only,22,7,8,5,1.5,29.5,120,120,0,110.5,16.759858118298965
flattened_topk,22,1,1,5,1.5,29.5,120,120,0,110.5,16.759858118298965
no_operator_awareness,22,7,8,5,1.5,29.5,242,120,122,264.0,16.759858118298965
no_pruning,35,7,12,6,1.5,44.0,187,187,0,172.5,19.94819559939007
random_topk_1,21,7,11,6,1.5,30.0,109,109,0,100.75,12.585237694746079
random_topk_2,21,6,10,6,1.5,30.0,112,112,0,102.75,11.310497919104531
random_topk_3,21,6,9,6,1.5,30.0,114,114,0,105.5,11.991688952293291
random_topk_4,21,7,11,6,1.5,30.0,111,111,0,103.0,11.271830738313641
random_topk_5,21,6,11,6,1.5,30.0,107,107,0,97.5,11.042594037370963
random_topk_6,21,7,11,6,1.5,30.0,111,111,0,102.0,11.72275389109433
random_topk_7,21,6,8,6,1.5,30.0,111,111,0,101.5,12.167163852219266
random_topk_8,21,6,11,6,1.5,30.0,109,109,0,99.75,10.81885073143101
random_topk_9,21,5,9,6,1.5,30.0,113,113,0,105.25,11.957608920501787
random_topk_10,21,7,10,6,1.5,30.0,113,113,0,105.25,12.620076959165715
random_topk_11,21,6,9,6,1.5,30.0,112,112,0,102.75,11.907753863984802
random_topk_12,21,7,10,6,1.5,30.0,112,112,0,102.75,11.06876049497533
random_topk_13,21,6,9,6,1.5,30.0,115,115,0,107.5,12.813938548759994
random_topk_14,21,7,9,6,1.5,30.0,118,118,0,110.0,13.443877223818495
random_topk_15,21,7,12,6,1.5,30.0,114,114,0,106.0,12.037498010639055
random_topk_16,24,7,9,4,1.5,30.0,125,125,0,115.5,14.256683662745992
random_topk_17,22,6,9,5,1.5,29.5,122,122,0,113.75,11.784851600849517
random_topk_18,21,7,9,6,1.5,30.0,111,111,0,100.5,11.927708016989063
random_topk_19,21,6,9,6,1.5,30.0,107,107,0,97.5,12.11398816557479
random_topk_20,21,6,9,6,1.5,30.0,114,114,0,106.0,11.612986653501004
random_topk_21,21,7,10,6,1.5,30.0,108,108,0,97.75,11.594602843821372
random_topk_22,21,6,9,6,1.5,30.0,107,107,0,97.5,11.354095493790483
random_topk_23,21,5,9,6,1.5,30.0,111,111,0,101.5,11.713193649098736
random_topk_24,21,7,11,6,1.5,30.0,107,107,0,98.0,12.0131670147849
random_topk_25,21,6,9,6,1.5,30.0,115,115,0,107.0,12.387882232383511
random_topk_26,21,6,10,6,1.5,30.0,111,111,0,101.5,11.496458057254685
random_topk_27,21,7,9,6,1.5,30.0,116,116,0,108.25,12.519192994004968
random_topk_28,21,6,10,6,1.5,30.0,118,118,0,110.0,12.78777441300696
random_topk_29,21,5,10,6,1.5,30.0,109,109,0,98.75,11.327615780807028
random_topk_30,21,7,12,6,1.5,30.0,119,119,0,111.0,11.43819909492449
