method,field_count,form_group_count,subgroup_count,max_depth,avg_depth,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,ambiguous_label_resolution_rate
aqf_full,27,7,11,6,3.7777777777777777,1.0,1.0,0,1.0
aqf_topk_no_threshold,27,7,11,6,3.7777777777777777,1.0,1.0,0,1.0
frequency_only,27,7,11,6,3.7777777777777777,1.0,1.0,0,1.0
flattened_topk,27,1,1,6,3.7777777777777777,0.0,1.0,0,1.0
no_operator_awareness,27,7,11,6,3.7777777777777777,1.0,1.0,0,1.0
no_pruning,35,7,12,6,3.742857142857143,1.0,1.0,0,1.0
random_topk_1,27,7,11,6,3.7777777777777777,1.0,1.0,0,1.0
random_topk_2,27,6,11,6,3.814814814814815,1.0,1.0,0,1.0
random_topk_3,27,7,11,6,3.7037037037037037,1.0,1.0,0,1.0
random_topk_4,27,7,12,6,3.7777777777777777,1.0,1.0,0,1.0
random_topk_5,27,6,11,6,3.740740740740741,1.0,1.0,0,1.0
random_topk_6,27,7,12,6,3.814814814814815,1.0,1.0,0,1.0
random_topk_7,27,7,10,6,3.6296296296296298,1.0,1.0,0,1.0
random_topk_8,27,7,12,6,3.8518518518518516,1.0,1.0,0,1.0
random_topk_9,27,6,10,6,3.8518518518518516,1.0,1.0,0,1.0
random_topk_10,27,7,11,6,3.814814814814815,1.0,1.0,0,1.0
random_topk_11,27,7,12,6,3.7037037037037037,1.0,1.0,0,1.0
random_topk_12,27,7,12,6,3.814814814814815,1.0,1.0,0,1.0
random_topk_13,27,7,10,6,3.7037037037037037,1.0,1.0,0,1.0
random_topk_14,27,7,10,6,3.7037037037037037,1.0,1.0,0,1.0
random_topk_15,27,7,12,6,3.814814814814815,1.0,1.0,0,1.0
random_topk_16,27,7,11,6,3.6296296296296298,1.0,1.0,0,1.0
random_topk_17,27,7,10,5,3.5555555555555554,1.0,1.0,0,1.0
random_topk_18,27,7,11,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_19,27,6,10,6,3.740740740740741,1.0,1.0,0,1.0
random_topk_20,27,6,11,6,3.7037037037037037,1.0,1.0,0,1.0
random_topk_21,27,7,11,6,3.7037037037037037,1.0,1.0,0,1.0
random_topk_22,27,7,10,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_23,27,5,10,6,3.888888888888889,1.0,1.0,0,1.0
random_topk_24,27,7,12,6,3.814814814814815,1.0,1.0,0,1.0
random_topk_25,27,6,10,6,3.6296296296296298,1.0,1.0,0,1.0
random_topk_26,27,7,12,6,3.740740740740741,1.0,1.0,0,1.0
random_topk_27,27,7,11,6,3.740740740740741,1.0,1.0,0,1.0
random_topk_28,27,7,12,6,3.7777777777777777,1.0,1.0,0,1.0
random_topk_29,27,7,12,6,3.814814814814815,1.0,1.0,0,1.0
random_topk_30,27,7,12,6,3.814814814814815,1.0,1.0,0,1.0
