comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.8571428571428571,0.9523809523809523,-0.09523809523809523,-10.0
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.8690476190476191,0.9523809523809523,-0.08333333333333326,-8.749999999999993
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,27.0,35.0,-8.0,-22.857142857142858
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,145.0,187.0,-42.0,-22.459893048128343
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,30.0,38.0,-8.0,-21.052631578947366
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,133.25,172.5,-39.25,-22.753623188405797
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.8571428571428571,0.8571428571428571,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.8690476190476191,0.8690476190476191,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,27.0,27.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,145.0,297.0,-152.0,-51.178451178451176
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,133.25,324.0,-190.75,-58.873456790123456
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,152.0,-152.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.8571428571428571,0.8571428571428571,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.8690476190476191,0.8948979591836735,-0.025850340136054473,-2.888635499809964
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,27.0,27.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,145.0,143.0,2.0,1.3986013986013985
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,133.25,130.5,2.75,2.10727969348659
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.8571428571428571,0.8571428571428571,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.8690476190476191,0.8690476190476191,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,27.0,27.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,145.0,145.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,133.25,133.25,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
