method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage
aqf_full,22,7,7,4,2.0,30.0,117,117,0,107.0,32.99859834172612,42,0.6904761904761905,0.7634920634920636
aqf_topk_no_threshold,22,7,7,4,2.0,30.0,117,117,0,107.0,32.99859834172612,42,0.6904761904761905,0.7634920634920636
frequency_only,22,7,7,4,2.0,30.0,117,117,0,107.0,32.99859834172612,42,0.6904761904761905,0.7634920634920636
flattened_topk,22,1,1,4,2.0,30.0,117,117,0,107.0,32.99859834172612,42,0.6904761904761905,0.7634920634920636
no_operator_awareness,22,7,7,4,2.0,30.0,242,117,125,264.0,32.99859834172612,42,0.6904761904761905,0.7634920634920636
no_pruning,35,7,12,6,2.0,47.0,187,187,0,172.5,38.95106070014661,42,0.9523809523809523,0.9523809523809523
random_topk_1,18,6,9,6,2.0,30.0,91,91,0,83.25,19.365198406661417,42,0.35714285714285715,0.5146825396825397
random_topk_2,18,6,9,6,2.0,30.0,94,94,0,86.25,19.480366642012942,42,0.40476190476190477,0.6608276643990929
random_topk_3,18,6,8,6,2.0,30.0,96,96,0,88.5,20.142416029831963,42,0.19047619047619047,0.4511904761904762
random_topk_4,18,7,11,6,2.0,30.0,93,93,0,86.0,17.04531074535574,42,0.2857142857142857,0.4807823129251701
random_topk_5,18,6,11,6,2.0,30.0,93,93,0,85.5,17.57522786355551,42,0.35714285714285715,0.5687074829931973
random_topk_6,18,7,11,6,2.0,30.0,93,93,0,84.5,20.4197850676893,42,0.30952380952380953,0.4312925170068027
random_topk_7,18,5,7,6,2.0,30.0,93,93,0,84.5,19.86394586673785,42,0.30952380952380953,0.48560090702947845
random_topk_8,18,5,10,6,2.0,30.0,93,93,0,84.5,18.939187843194663,42,0.2857142857142857,0.5335034013605442
random_topk_9,18,5,9,6,2.0,30.0,98,98,0,91.25,20.05061266735748,42,0.4523809523809524,0.6110544217687075
random_topk_10,18,7,10,6,2.0,30.0,95,95,0,88.75,20.64664565837721,42,0.30952380952380953,0.4895124716553288
random_topk_11,18,6,9,6,2.0,30.0,98,98,0,89.75,20.46587667110306,42,0.21428571428571427,0.35453514739229025
random_topk_12,18,7,10,6,2.0,30.0,96,96,0,88.0,18.3261408965089,42,0.21428571428571427,0.398469387755102
random_topk_13,18,6,9,6,2.0,30.0,97,97,0,90.0,20.0498327900265,42,0.2619047619047619,0.4894557823129252
random_topk_14,18,7,9,6,2.0,30.0,104,104,0,98.0,22.783111625235335,42,0.47619047619047616,0.5829931972789115
random_topk_15,18,6,11,6,2.0,30.0,96,96,0,88.5,19.442668642791784,42,0.23809523809523808,0.4850907029478458
random_topk_16,22,7,8,4,2.0,30.0,113,113,0,103.5,25.042451758595075,42,0.5476190476190477,0.7336734693877551
random_topk_17,20,6,9,5,2.0,30.0,110,110,0,102.25,21.50174637984148,42,0.38095238095238093,0.5441043083900227
random_topk_18,18,7,8,6,2.0,30.0,97,97,0,88.0,22.633023447509096,42,0.35714285714285715,0.5434807256235827
random_topk_19,18,6,8,6,2.0,30.0,91,91,0,82.75,19.314287311241937,42,0.30952380952380953,0.5358843537414966
random_topk_20,22,6,8,4,2.0,30.0,118,118,0,108.75,24.598351589208367,42,0.6666666666666666,0.7380952380952381
random_topk_21,18,7,10,6,2.0,30.0,92,92,0,83.0,20.195504219677755,42,0.2619047619047619,0.4950113378684807
random_topk_22,18,6,9,6,2.0,30.0,91,91,0,82.75,19.51242686407506,42,0.3333333333333333,0.6055555555555555
random_topk_23,18,5,9,6,2.0,30.0,93,93,0,84.5,18.46679415320838,42,0.19047619047619047,0.4050453514739229
random_topk_24,18,7,11,6,2.0,30.0,91,91,0,83.75,20.034434315049072,42,0.35714285714285715,0.4793083900226757
random_topk_25,18,6,9,6,2.0,30.0,97,97,0,90.0,18.882661009067657,42,0.19047619047619047,0.39852607709750565
random_topk_26,18,6,9,6,2.0,30.0,93,93,0,84.0,20.694367309864138,42,0.2619047619047619,0.46082766439909295
random_topk_27,18,7,9,6,2.0,30.0,100,100,0,94.0,21.10582337377118,42,0.21428571428571427,0.401984126984127
random_topk_28,18,6,10,6,2.0,30.0,100,100,0,93.0,21.364682903041338,42,0.47619047619047616,0.65640589569161
random_topk_29,18,5,9,6,2.0,30.0,93,93,0,84.5,20.02731371847361,42,0.2619047619047619,0.4528344671201814
random_topk_30,18,7,11,6,2.0,30.0,103,103,0,96.25,19.066738865718214,42,0.38095238095238093,0.5579931972789116
