comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.6904761904761905,0.9523809523809523,-0.26190476190476186,-27.499999999999996
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.7634920634920636,0.9523809523809523,-0.18888888888888877,-19.83333333333332
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,22.0,35.0,-13.0,-37.142857142857146
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,117.0,187.0,-70.0,-37.4331550802139
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,30.0,47.0,-17.0,-36.17021276595745
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,107.0,172.5,-65.5,-37.971014492753625
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.6904761904761905,0.6904761904761905,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.7634920634920636,0.7634920634920636,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,22.0,22.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,117.0,242.0,-125.0,-51.652892561983464
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,107.0,264.0,-157.0,-59.46969696969697
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,125.0,-125.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.6904761904761905,0.6904761904761905,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.7634920634920636,0.7634920634920636,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,22.0,22.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,117.0,117.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,107.0,107.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.6904761904761905,0.6904761904761905,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.7634920634920636,0.7634920634920636,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,22.0,22.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,117.0,117.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,30.0,30.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,107.0,107.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
