method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,30,7,11,6,0.0,30.0,163,163,0,150.25,67.65199897685453
aqf_topk_no_threshold,30,7,11,6,0.0,30.0,163,163,0,150.25,67.65199897685453
frequency_only,30,7,11,6,0.0,30.0,157,157,0,142.5,67.44623765998209
flattened_topk,30,1,1,6,0.0,30.0,163,163,0,150.25,67.65199897685453
no_operator_awareness,30,7,11,6,0.0,30.0,330,163,167,360.0,67.65199897685453
no_pruning,35,7,12,6,0.0,35.0,187,187,0,172.5,70.62250253474086
random_topk_1,30,7,11,6,0.0,30.0,157,157,0,145.0,60.21578079108154
random_topk_2,30,7,12,6,0.0,30.0,160,160,0,148.0,59.87857892811478
random_topk_3,30,7,11,6,0.0,30.0,162,162,0,150.25,62.16916715384083
random_topk_4,30,7,12,6,0.0,30.0,161,161,0,149.0,60.71037055854239
random_topk_5,30,6,11,6,0.0,30.0,157,157,0,143.0,60.26698207805056
random_topk_6,30,7,12,6,0.0,30.0,159,159,0,145.75,60.32227055691582
random_topk_7,30,7,11,6,0.0,30.0,163,163,0,150.75,62.703580817808344
random_topk_8,30,7,12,6,0.0,30.0,157,157,0,143.5,58.608176456874006
random_topk_9,30,7,11,6,0.0,30.0,163,163,0,151.25,61.09814983850695
random_topk_10,30,7,11,6,0.0,30.0,161,161,0,149.0,60.35694281388607
random_topk_11,30,7,12,6,0.0,30.0,163,163,0,151.75,60.76841476876051
random_topk_12,30,7,12,6,0.0,30.0,161,161,0,149.0,57.584998607846
random_topk_13,30,7,12,6,0.0,30.0,161,161,0,149.0,60.83425839015969
random_topk_14,30,7,10,6,0.0,30.0,163,163,0,150.75,64.82528564671692
random_topk_15,30,7,12,6,0.0,30.0,161,161,0,148.0,60.94535323555405
random_topk_16,30,7,12,6,0.0,30.0,159,159,0,146.75,58.55710669895571
random_topk_17,30,7,11,6,0.0,30.0,159,159,0,146.75,59.5833122357419
random_topk_18,30,7,11,6,0.0,30.0,157,157,0,143.0,59.4834575587583
random_topk_19,30,7,12,6,0.0,30.0,161,161,0,149.5,60.75582510399693
random_topk_20,30,7,12,6,0.0,30.0,164,164,0,152.5,62.059564959053446
random_topk_21,30,7,11,6,0.0,30.0,160,160,0,147.5,59.14387465000802
random_topk_22,30,7,11,6,0.0,30.0,157,157,0,144.5,62.43050112121818
random_topk_23,30,5,10,6,0.0,30.0,157,157,0,144.0,56.527641034129616
random_topk_24,30,7,12,6,0.0,30.0,161,161,0,148.5,62.515481358372334
random_topk_25,30,6,10,6,0.0,30.0,163,163,0,150.75,62.686837494964806
random_topk_26,30,7,12,6,0.0,30.0,157,157,0,143.5,59.602310066660735
random_topk_27,30,7,11,6,0.0,30.0,161,161,0,149.0,59.29334465873729
random_topk_28,30,7,12,6,0.0,30.0,161,161,0,148.5,58.189842554240585
random_topk_29,30,7,12,6,0.0,30.0,157,157,0,143.5,60.08996359030933
random_topk_30,30,7,12,6,0.0,30.0,161,161,0,148.0,58.02302542969399
