rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10,selected_by_random_topk_11,selected_by_random_topk_12,selected_by_random_topk_13,selected_by_random_topk_14,selected_by_random_topk_15,selected_by_random_topk_16,selected_by_random_topk_17,selected_by_random_topk_18,selected_by_random_topk_19,selected_by_random_topk_20,selected_by_random_topk_21,selected_by_random_topk_22,selected_by_random_topk_23,selected_by_random_topk_24,selected_by_random_topk_25,selected_by_random_topk_26,selected_by_random_topk_27,selected_by_random_topk_28,selected_by_random_topk_29,selected_by_random_topk_30
1,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,3.2979067457754585,1.0,temporal,DV_DATE,birth date,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True
2,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.1312400791087915,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,False
3,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.020128967997681,1.0,temporal,DV_DATE,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
4,cf_469c691048a0ce,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.002452200320913,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True
5,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.928341528384154,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False
6,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.9090178568865697,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.890499338368051,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True
8,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,2.8888158366845493,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
9,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.871980819849533,1.0,coded,DV_CODED_TEXT,state,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.8631241370798066,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True
11,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.853462301331014,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True
12,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,2.843361291230004,1.0,null,NULL_FLAVOUR,race,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True
13,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,2.843361291230004,1.0,null,NULL_FLAVOUR,ethnic group,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
14,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,2.843361291230004,1.0,coded,DV_CODED_TEXT,educational level,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
15,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,2.843361291230004,1.0,coded,DV_CODED_TEXT,nationality,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True
16,cf_4e7e8ca2916a1e,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.8349437828124953,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True
17,cf_0a229c157b8d2a,Associated causes,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.8349437828124953,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
18,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.6211553347245307,0.7037037037037037,numeric,DV_COUNT,duration of follow up months,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.4870070251949574,0.7037037037037037,numeric,DV_QUANTITY,body mass index,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True
20,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.237067543229332,0.7037037037037037,text,DV_TEXT,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.2130620562608816,0.7037037037037037,text,DV_TEXT,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
