method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,27,145,145,0,133.25
aqf_topk_no_threshold,27,145,145,0,133.25
flattened_topk,27,145,145,0,133.25
frequency_only,27,143,143,0,130.5
no_operator_awareness,27,297,145,152,324.0
no_pruning,35,187,187,0,172.5
random_topk_1,27,141,141,0,130.25
random_topk_10,27,143,143,0,132.5
random_topk_11,27,148,148,0,138.75
random_topk_12,27,146,146,0,135.5
random_topk_13,27,145,145,0,134.75
random_topk_14,27,147,147,0,136.5
random_topk_15,27,146,146,0,135.0
random_topk_16,27,141,141,0,130.25
random_topk_17,27,148,148,0,137.75
random_topk_18,27,141,141,0,128.25
random_topk_19,27,143,143,0,132.0
random_topk_2,27,142,142,0,130.0
random_topk_20,27,146,146,0,135.0
random_topk_21,27,142,142,0,130.0
random_topk_22,27,141,141,0,129.75
random_topk_23,27,143,143,0,131.5
random_topk_24,27,143,143,0,131.5
random_topk_25,27,145,145,0,133.75
random_topk_26,27,143,143,0,131.5
random_topk_27,27,149,149,0,139.25
random_topk_28,27,152,152,0,142.25
random_topk_29,27,139,139,0,127.0
random_topk_3,27,148,148,0,137.75
random_topk_30,27,145,145,0,132.75
random_topk_4,27,143,143,0,132.0
random_topk_5,27,139,139,0,126.5
random_topk_6,27,141,141,0,129.25
random_topk_7,27,147,147,0,136.0
random_topk_8,27,141,141,0,129.25
random_topk_9,27,147,147,0,137.0
