method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,27,7,11,6,0.5,30.0,145,145,0,133.25,65.62278326187581,42,0.8571428571428571,0.8690476190476191,True
aqf_topk_no_threshold,27,7,11,6,0.5,30.0,145,145,0,133.25,65.62278326187581,42,0.8571428571428571,0.8690476190476191,True
frequency_only,27,7,11,6,0.5,30.0,143,143,0,130.5,65.51990260343959,42,0.8571428571428571,0.8948979591836735,True
flattened_topk,27,1,1,6,0.5,30.0,145,145,0,133.25,65.62278326187581,42,0.8571428571428571,0.8690476190476191,True
no_operator_awareness,27,7,11,6,0.5,30.0,297,145,152,324.0,65.62278326187581,42,0.8571428571428571,0.8690476190476191,True
no_pruning,35,7,12,6,0.5,38.0,187,187,0,172.5,70.62250253474086,42,0.9523809523809523,0.9523809523809523,True
random_topk_1,27,7,11,6,0.5,30.0,141,141,0,130.25,51.999497835862336,42,0.5,0.6027210884353741,False
random_topk_2,27,6,11,6,0.5,30.0,142,142,0,130.0,54.094011329869055,42,0.7619047619047619,0.8286848072562358,False
random_topk_3,27,7,11,6,0.5,30.0,148,148,0,137.75,53.47073311180065,42,0.6666666666666666,0.7765306122448979,False
random_topk_4,27,7,12,6,0.5,30.0,143,143,0,132.0,52.02035402491972,42,0.7619047619047619,0.8638321995464852,False
random_topk_5,27,6,11,6,0.5,30.0,139,139,0,126.5,53.818874020110165,42,0.5714285714285714,0.7755668934240363,False
random_topk_6,27,7,12,6,0.5,30.0,141,141,0,129.25,51.64996738883259,42,0.5,0.7073129251700679,False
random_topk_7,27,7,10,6,0.5,30.0,147,147,0,136.0,58.62604927427794,42,0.7142857142857143,0.7860544217687074,False
random_topk_8,27,7,12,6,0.5,30.0,141,141,0,129.25,52.76636214693428,42,0.7142857142857143,0.8341836734693877,False
random_topk_9,27,6,10,6,0.5,30.0,147,147,0,137.0,53.18277722123511,42,0.7619047619047619,0.8201814058956917,False
random_topk_10,27,7,11,6,0.5,30.0,143,143,0,132.5,53.938259437544275,42,0.6190476190476191,0.7335600907029478,False
random_topk_11,27,7,12,6,0.5,30.0,148,148,0,138.75,55.69706336836203,42,0.3333333333333333,0.5576530612244898,False
random_topk_12,27,7,12,6,0.5,30.0,146,146,0,135.5,50.991333243393484,42,0.5952380952380952,0.707936507936508,False
random_topk_13,27,7,10,6,0.5,30.0,145,145,0,134.75,55.67160860603126,42,0.5238095238095238,0.7007936507936507,False
random_topk_14,27,7,10,6,0.5,30.0,147,147,0,136.5,56.878362960857984,42,0.6666666666666666,0.7990929705215419,False
random_topk_15,27,7,12,6,0.5,30.0,146,146,0,135.0,54.175741613029665,42,0.4523809523809524,0.6784013605442177,False
random_topk_16,27,7,11,6,0.5,30.0,141,141,0,130.25,51.716850357638464,42,0.6666666666666666,0.8290249433106576,False
random_topk_17,27,7,10,5,0.5,29.5,148,148,0,137.75,54.5254136674758,42,0.5952380952380952,0.7182539682539683,True
random_topk_18,27,7,11,6,0.5,30.0,141,141,0,128.25,53.453833861331255,42,0.5,0.6688775510204081,False
random_topk_19,27,6,10,6,0.5,30.0,143,143,0,132.0,55.928080527417464,42,0.7857142857142857,0.8850340136054422,False
random_topk_20,27,6,11,6,0.5,30.0,146,146,0,135.0,54.11645881632147,42,0.7380952380952381,0.822562358276644,False
random_topk_21,27,7,11,6,0.5,30.0,142,142,0,130.0,55.05058354056175,42,0.5238095238095238,0.7090136054421768,False
random_topk_22,27,7,10,6,0.5,30.0,141,141,0,129.75,57.72477783741874,42,0.6666666666666666,0.8055555555555556,False
random_topk_23,27,5,10,6,0.5,30.0,143,143,0,131.5,48.154106551288514,42,0.40476190476190477,0.6284580498866214,False
random_topk_24,27,7,12,6,0.5,30.0,143,143,0,131.5,53.40041724752817,42,0.5714285714285714,0.7175736961451248,False
random_topk_25,27,6,10,6,0.5,30.0,145,145,0,133.75,55.77250707957348,42,0.5714285714285714,0.7581065759637189,False
random_topk_26,27,7,12,6,0.5,30.0,143,143,0,131.5,53.23095179319959,42,0.42857142857142855,0.6302154195011338,False
random_topk_27,27,7,11,6,0.5,30.0,149,149,0,139.25,51.327903454359834,42,0.5476190476190477,0.7028344671201814,False
random_topk_28,27,7,12,6,0.5,30.0,152,152,0,142.25,53.72878818177672,42,0.6190476190476191,0.7659297052154195,False
random_topk_29,27,7,12,6,0.5,30.0,139,139,0,127.0,51.49422315096275,42,0.5238095238095238,0.6319727891156462,False
random_topk_30,27,7,12,6,0.5,30.0,145,145,0,132.75,52.20998110625372,42,0.7142857142857143,0.8286281179138322,False
