method,field_count,form_group_count,subgroup_count,max_depth,avg_depth,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,ambiguous_label_resolution_rate
aqf_full,24,7,9,6,3.6666666666666665,1.0,1.0,0,1.0
aqf_topk_no_threshold,24,7,9,6,3.6666666666666665,1.0,1.0,0,1.0
frequency_only,24,7,9,6,3.5833333333333335,1.0,1.0,0,1.0
flattened_topk,24,1,1,6,3.6666666666666665,0.0,1.0,0,1.0
no_operator_awareness,24,7,9,6,3.6666666666666665,1.0,1.0,0,1.0
no_pruning,35,7,12,6,3.742857142857143,1.0,1.0,0,1.0
random_topk_1,24,7,11,6,3.7916666666666665,1.0,1.0,0,1.0
random_topk_2,24,6,11,6,3.75,1.0,1.0,0,1.0
random_topk_3,24,7,11,6,3.75,1.0,1.0,0,1.0
random_topk_4,24,7,11,6,3.75,1.0,1.0,0,1.0
random_topk_5,24,6,11,6,3.7916666666666665,1.0,1.0,0,1.0
random_topk_6,24,7,11,6,3.75,1.0,1.0,0,1.0
random_topk_7,24,6,9,6,3.625,1.0,1.0,0,1.0
random_topk_8,24,6,11,6,3.875,1.0,1.0,0,1.0
random_topk_9,24,6,10,6,3.875,1.0,1.0,0,1.0
random_topk_10,24,7,10,6,3.7083333333333335,1.0,1.0,0,1.0
random_topk_11,24,7,11,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_12,24,7,11,6,3.75,1.0,1.0,0,1.0
random_topk_13,24,7,10,6,3.625,1.0,1.0,0,1.0
random_topk_14,24,7,10,6,3.75,1.0,1.0,0,1.0
random_topk_15,24,7,12,6,3.8333333333333335,1.0,1.0,0,1.0
random_topk_16,26,7,9,4,3.4615384615384617,1.0,1.0,0,1.0
random_topk_17,25,6,9,5,3.56,1.0,1.0,0,1.0
random_topk_18,24,7,11,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_19,24,6,10,6,3.7083333333333335,1.0,1.0,0,1.0
random_topk_20,24,6,10,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_21,24,7,10,6,3.7083333333333335,1.0,1.0,0,1.0
random_topk_22,24,6,9,6,3.75,1.0,1.0,0,1.0
random_topk_23,24,5,10,6,3.9166666666666665,1.0,1.0,0,1.0
random_topk_24,24,7,12,6,3.8333333333333335,1.0,1.0,0,1.0
random_topk_25,24,6,10,6,3.6666666666666665,1.0,1.0,0,1.0
random_topk_26,24,7,11,6,3.7083333333333335,1.0,1.0,0,1.0
random_topk_27,24,7,10,6,3.625,1.0,1.0,0,1.0
random_topk_28,24,6,11,6,3.8333333333333335,1.0,1.0,0,1.0
random_topk_29,24,6,11,6,3.8333333333333335,1.0,1.0,0,1.0
random_topk_30,24,7,12,6,3.7916666666666665,1.0,1.0,0,1.0
